posx,posy,posz
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.19999
0.95847946,0.75110006,1.698238
0.90035075,0.75110006,2.395785
0.85052615,0.75110006,2.9936829
0.82000834,0.75110006,3.5912204
1.292438,0.75110006,3.7548823
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.1667966,0.7511,3.8708472
1.036414,0.75110006,4.462082
0.9801233,0.7511,5.5605855
0.9801233,0.7511,5.5605855
1.5086179,0.75110006,5.2765827
2.0194027,0.7511001,4.9618406
2.5301876,0.75110006,4.647098
3.2112343,0.75110006,4.2274413
3.6368885,0.75110006,3.965156
3.6368885,0.7511,3.965156
3.6368885,0.7511,3.965156
3.6368885,0.7511,3.965156
3.6368885,0.7511,3.965156
3.6368885,0.7511,3.965156
3.6368885,0.7511,3.965156
3.6368885,0.7511,3.965156
3.8368783,0.7511,3.965156
3.8368783,0.7511,3.965156
4.243404,0.75110006,4.2562094
4.0388627,0.7511,4.0346417
4.4896445,0.75110006,4.250907
5.1207395,0.7511,4.553678
5.661678,0.7511,4.813196
6.6533985,0.7511,5.2889795
6.4459734,0.7511,5.505696
6.4459734,0.7511,5.505696
6.4459734,0.7511,5.505696
6.4459734,0.7511,5.505696
6.4459734,0.7511,5.505696
6.4459734,0.7511,5.505696
6.4459734,0.7511,5.505696
6.4459734,0.7511,5.505696
6.4459734,0.7511,5.505696
6.4459734,0.7511,5.505696
6.4459734,0.7511,5.505696
6.6459637,0.7511,5.505696
6.4673324,0.7511,5.5956235
6.718757,0.75110006,6.0277815
7.070752,0.75110006,6.632803
7.372462,0.75110006,7.1513925
7.523317,0.7511,7.4106874
7.072135,0.75110006,7.8061604
6.771347,0.7511,8.069809
6.771347,0.7511,8.069809
6.771347,0.7511,8.069809
6.771347,0.7511,8.069809
6.771347,0.7511,8.069809
6.771347,0.7511,8.069809
6.771347,0.7511,8.069809
6.771347,0.7511,8.069809
6.771347,0.7511,8.069809
6.571357,0.7511,8.069809
6.571357,0.7511,8.069809
7.0430255,0.7511001,7.903966
7.42036,0.7511,7.7712917
7.3765707,0.75110006,7.1729217
7.332782,0.75110006,6.574552
7.2889924,0.75110006,5.976182
7.0981116,0.75110006,5.3052607
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.0675144,0.7511,5.210062
7.159825,0.7511,5.387473
7.1985826,0.7511,4.7887564
7.210925,0.75110006,4.0922832
7.2109275,0.7511,3.6943202
7.281337,0.7511,3.1032715
7.382806,0.7511,2.5119443
7.4842753,0.7511,1.9206169
7.5857444,0.7511,1.3292896
7.636479,0.7511,1.0336258
7.636479,0.7511,1.0336258
7.636479,0.7511,1.0336258
7.636479,0.7511,1.0336258
7.636479,0.7511,1.0336258
7.636479,0.7511,1.0336258
7.636479,0.7511,1.0336258
7.636479,0.7511,1.0336258
7.636479,0.7511,1.0336258
7.4364886,0.7511,1.0336258
7.399613,0.75110006,1.5322391
7.3479867,0.75110006,2.2302976
7.29636,0.75110006,2.9283562
7.20802,0.75110006,3.580109
7.2109323,0.75110006,4.1798325
7.2109294,0.75110006,4.778398
7.2109294,0.7511,5.276401
7.2109294,0.7511,5.276401
7.2109294,0.7511,5.276401
7.2109294,0.7511,5.276401
7.2109294,0.7511,5.276401
7.2109294,0.7511,5.276401
7.2109294,0.7511,5.276401
7.2109294,0.7511,5.276401
7.2109294,0.7511,5.276401
7.2109294,0.7511,5.4763913
7.3221207,0.7511,6.062652
7.4734344,0.75110006,6.7460666
7.603003,0.75110006,7.3318787
7.4135966,0.75110006,7.9911566
7.237437,0.7511,8.306419
7.1799917,0.75110006,8.962778
7.1799917,0.75110006,9.555027
7.1799917,0.7511,9.745999
7.1799917,0.7511,9.745999
7.1799917,0.7511,9.745999
7.1799917,0.7511,9.745999
7.1799917,0.7511,9.745999
7.1799917,0.7511,9.745999
7.1799917,0.7511,9.94599
7.1799917,0.7511,10.3407545
7.1799917,0.7511,10.3407545
7.216137,0.75110006,10.663783
7.50193,0.7511,11.191312
7.669561,0.75110006,11.86708
7.78956,0.75110006,12.454927
7.8809423,0.75110006,13.047897
7.9875555,0.7511,13.739696
8.002787,0.7511,13.838524
8.002787,0.7511,13.838524
8.002787,0.7511,13.838524
8.002787,0.7511,13.838524
8.002787,0.7511,13.838524
8.002787,0.7511,13.838524
8.002787,0.7511,13.838524
8.002787,0.7511,13.838524
8.002787,0.7511,13.838524
8.002787,0.7511,13.838524
8.002787,0.7511,13.838524
8.002787,0.7511,14.038513
8.100098,0.75110006,14.630539
8.179984,0.7511,15.123894
8.179984,0.7511,15.123894
8.179984,0.7511,15.123894
7.979994,0.7511,15.123894
7.979994,0.7511,15.123894
7.979994,0.7511,15.123894
7.979994,0.7511,15.123894
7.979994,0.7511,15.123894
7.979994,0.7511,15.123894
7.979994,0.7511,15.123894
7.979994,0.7511,15.123894
7.979994,0.7511,15.123894
7.780004,0.7511,15.123894
7.780004,0.7511,15.123894
7.761122,0.7511,15.723567
7.742241,0.7511,16.32324
7.7076244,0.7511,17.42264
7.688743,0.7511,18.022312
7.688743,0.7511,18.022312
7.688743,0.7511,18.022312
7.688743,0.7511,18.022312
7.688743,0.7511,18.022312
7.688743,0.7511,18.022312
