posx,posy,posz
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.5893736,0.75110006,3.8877382
4.189303,0.75110006,3.880737
4.789232,0.75110006,3.8737357
5.889102,0.7511,3.8609
5.889102,0.7511,3.8609
5.9412966,0.75110006,3.2632046
6.51075,0.75110006,3.4521143
7.080203,0.75110006,3.641024
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.059859,0.7511,3.766964
7.4570932,0.7511,3.8137476
7.6678724,0.75110006,3.2520213
7.7732615,0.7511,2.9711583
7.87751,0.75110006,2.4821723
7.9817586,0.7511,1.9931864
8.09737,0.7511,1.4044607
8.174444,0.7511,1.0119768
8.174444,0.7511,1.0119768
8.174444,0.7511,1.0119768
7.9744544,0.7511,1.0119768
8.011325,0.7511,1.4102539
7.943486,0.7511,2.0063763
7.8869543,0.7511,2.503145
7.795168,0.75110006,3.0960524
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.7186794,0.7511,3.590142
7.9186697,0.7511,3.590142
8.28889,0.75110006,3.748114
8.841545,0.75110006,3.8200011
9.441494,0.75110006,3.8239305
10.141438,0.7511,3.8293507
10.74139,0.7511,3.8339853
11.24135,0.75110006,3.8378475
11.24135,0.7511,3.8378475
11.24135,0.7511,3.8378475
11.24135,0.7511,3.8378475
11.24135,0.7511,3.8378475
11.24135,0.7511,3.8378475
11.24135,0.7511,3.8378475
11.24135,0.7511,3.8378475
11.44134,0.7511,3.8378475
11.44134,0.7511,3.8378475
10.842853,0.7511,3.7956955
10.255946,0.7511,3.8200023
9.556236,0.75110006,3.820002
8.956918,0.75110006,3.8200023
8.658191,0.7511,3.8200023
8.40437,0.7511,3.815611
8.174259,0.75110006,3.543157
8.179998,0.75110006,2.9432733
8.179998,0.75110006,2.343441
8.179998,0.75110006,1.6438569
8.179998,0.75110006,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
8.179998,0.7511,1.0455259
7.9800086,0.7511,1.0455259
8.015445,0.7511,1.4439331
7.9439993,0.7511,2.039634
7.8963685,0.7511,2.4367678
7.7896996,0.75110006,3.1285574
7.713507,0.7511,3.6226926
7.713507,0.7511,3.6226926
7.713507,0.7511,3.6226926
7.713507,0.7511,3.6226926
7.713507,0.7511,3.6226926
7.713507,0.7511,3.6226926
7.713507,0.7511,3.6226926
7.713507,0.7511,3.6226926
7.713507,0.7511,3.6226926
7.713507,0.7511,3.6226926
7.713507,0.7511,3.6226926
7.513517,0.7511,3.6226926
7.1108313,0.75110006,4.067449
6.7081456,0.7511001,4.512205
6.3054595,0.75110006,4.9569616
5.8356595,0.7511001,5.475844
5.432974,0.75110006,5.9206004
5.030288,0.7511001,6.3653564
