posx,posy,posz
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.19999,0.7511,1.0
1.5599759,0.75110006,1.4799732
1.6199734,0.7511,1.5599687
2.0337453,0.7511,1.9944303
2.516479,0.75110006,2.5013022
3.1476276,0.75110006,3.142792
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.8408422,0.7511,3.6394615
3.8407173,0.7511,4.2394314
3.8405921,0.7511,4.8394012
3.8403628,0.7511,5.9393463
3.8403628,0.7511,5.9393463
3.6823015,0.7511,5.81682
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.9622998,0.7511,5.876801
3.6886873,0.7511,5.753808
3.7435045,0.75110006,6.4516234
3.8218145,0.7511,7.4485025
3.8218145,0.7511,7.4485025
4.325107,0.75110006,7.9349666
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.5969963,0.7511,8.004461
4.5969963,0.7511,8.004461
4.045546,0.7511,7.7681003
4.014194,0.7511,7.16895
3.9828424,0.7511,6.5698
3.9514906,0.7511,5.9706492
3.9149134,0.75110006,5.271641
3.8835616,0.75110006,4.6724906
3.8522098,0.7511,4.07334
3.9340487,0.7511,3.478978
3.9613283,0.7511,3.280857
3.9613283,0.7511,3.280857
3.9613283,0.7511,3.280857
3.9613283,0.7511,3.080867
3.8824213,0.75110006,3.5745764
3.8762221,0.7511,4.1745143
3.8689897,0.75110006,4.874442
3.8617573,0.7511,5.5743694
3.8555582,0.7511,6.1743073
3.8514254,0.7511,6.5742664
3.8514254,0.7511,6.5742664
3.8514254,0.7511,6.5742664
3.8514254,0.7511,6.5742664
3.8514254,0.7511,6.5742664
3.8514254,0.7511,6.5742664
3.8514254,0.7511,6.5742664
3.8514254,0.7511,6.5742664
3.8514254,0.7511,6.5742664
3.8514254,0.7511,6.5742664
3.8514254,0.7511,6.5742664
3.625608,0.7511,6.018415
3.065063,0.75110006,5.6316123
2.8221781,0.7511,5.45555
2.5582566,0.7511,5.2146983
1.864422,0.75110006,5.2109275
1.4407533,0.7511,5.21492
1.1923901,0.7511,5.5924745
1.0761133,0.7511,6.1810694
0.9404571,0.75110006,6.867763
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.8629393,0.7511,7.2601595
0.92244375,0.7511,7.1797967
1.0572584,0.75110006,6.492937
1.192073,0.75110006,5.8060775
1.2108923,0.7511,5.468186
1.3484148,0.75110006,5.2597895
2.014795,0.75110006,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.3112357,0.7511,5.2109275
2.5112257,0.7511,5.2109275
2.8591988,0.7511001,4.8519154
3.3463612,0.7511001,4.3492985
3.6247396,0.75110006,4.062089
3.8389397,0.7511001,3.5016584
4.0888395,0.7511001,2.8478227
4.160239,0.7511,2.6610124
4.160239,0.7511,2.6610124
4.160239,0.7511,2.6610124
4.160239,0.7511,2.6610124
4.160239,0.7511,2.4610224
4.160239,0.7511,2.4610224
4.195734,0.7511,2.3879275
4.6106124,0.75110006,2.147449
4.7089458,0.7511,2.1292944
5.1641746,0.7511001,1.9225538
5.801495,0.7511001,1.6331168
6.529861,0.7511001,1.3023317
7.0761356,0.75110006,1.0542428
7.4403186,0.7511,0.88885033
7.4403186,0.7511,0.88885033
7.4403186,0.7511,0.88885033
7.240329,0.7511,0.88885033
6.698464,0.75110006,1.1464285
6.066288,0.7511001,1.4469361
5.4341125,0.7511001,1.7474439
4.8922477,0.75110006,2.005022
4.711626,0.7511,2.0908813
4.46728,0.7511,2.1799436
4.2517643,0.75110006,2.28891
4.1799936,0.75110006,2.9358532
4.1799936,0.75110006,3.5303493
4.1482644,0.75110006,4.2262955
4.1323996,0.7511,4.5258603
4.0723157,0.7511,5.122814
4.0122313,0.7511,5.719768
3.9597187,0.7511,6.3174357
3.8984537,0.75110006,7.0147142
3.8634453,0.7511,7.4131594
4.2738304,0.75110006,7.8508215
4.4106255,0.7511,7.9967084
4.4106255,0.7511,7.9967084
4.4106255,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
4.6106157,0.7511,7.9967084
