posx,posy,posz,tick,turn
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,1
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,2
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,3
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,4
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,5
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,6
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,7
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,8
42.1581,0.7511,161.52568,,
42.1581,0.7511,161.52568,1,9
42.174046,0.75110006,162.22546,,
42.174046,0.75110006,162.22546,1,10
42.18999,0.75110006,162.92525,,
42.18999,0.75110006,162.92525,1,11
42.21049,0.75110006,163.82497,,
42.21049,0.75110006,163.82497,1,12
42.228714,0.75110006,164.62473,,
42.228714,0.75110006,164.62473,1,13
42.23327,0.7511,164.82466,,
42.23327,0.7511,164.82466,1,14
42.23327,0.7511,164.82466,,
42.23327,0.7511,164.82466,1,15
42.23327,0.7511,164.82466,,
42.23327,0.7511,164.82466,1,16
42.23327,0.7511,164.82466,,
42.23327,0.7511,164.82466,1,17
42.23327,0.7511,164.82466,,
42.23327,0.7511,164.82466,1,18
42.23327,0.7511,164.82466,,
42.23327,0.7511,164.82466,1,19
42.23327,0.7511,164.82466,,
42.23327,0.7511,164.82466,1,20
42.23327,0.7511,164.82466,,
42.23327,0.7511,164.82466,1,21
42.23327,0.7511,164.82466,,
42.23327,0.7511,164.82466,1,22
42.433258,0.7511,164.82466,,
42.433258,0.7511,164.82466,1,23
42.378506,0.7511,164.90833,,
42.378506,0.7511,164.90833,1,24
42.11271,0.75110006,165.44621,,
42.11271,0.75110006,165.44621,1,25
41.891216,0.7511,165.89445,,
41.891216,0.7511,165.89445,1,26
41.636826,0.75110006,166.43782,,
41.636826,0.75110006,166.43782,1,27
41.38244,0.75110006,166.98119,,
41.38244,0.75110006,166.98119,1,28
41.38244,0.7511,166.98119,,
41.38244,0.7511,166.98119,1,29
41.38244,0.7511,166.98119,,
41.38244,0.7511,166.98119,1,30
41.38244,0.7511,166.98119,,
41.38244,0.7511,166.98119,1,31
41.38244,0.7511,166.98119,,
41.38244,0.7511,166.98119,1,32
41.38244,0.7511,166.98119,,
41.38244,0.7511,166.98119,1,33
41.38244,0.7511,166.98119,,
41.38244,0.7511,166.98119,1,34
41.38244,0.7511,166.98119,,
41.38244,0.7511,166.98119,1,35
41.38244,0.7511,166.98119,,
41.38244,0.7511,166.98119,1,36
41.38244,0.7511,166.98119,,
41.38244,0.7511,166.98119,1,37
41.582428,0.7511,166.98119,,
41.582428,0.7511,166.98119,1,38
41.906517,0.75110006,167.60161,,
41.906517,0.75110006,167.60161,1,39
42.138016,0.7511,168.04475,,
42.138016,0.7511,168.04475,1,40
42.73725,0.7511,168.07443,,
42.73725,0.7511,168.07443,1,41
43.536232,0.7511,168.114,,
43.536232,0.7511,168.114,1,42
44.23534,0.75110006,168.14864,,
44.23534,0.75110006,168.14864,1,43
45.034306,0.75110006,168.18,,
45.034306,0.75110006,168.18,1,44
45.504078,0.75110006,168.1799,,
45.504078,0.75110006,168.1799,1,45
45.80431,0.75110006,168.18,,
45.80431,0.75110006,168.18,1,46
45.80431,0.7511,168.18,,
45.80431,0.7511,168.18,1,47
45.80431,0.7511,168.18,,
45.80431,0.7511,168.18,1,48
45.80431,0.7511,168.18,,
45.80431,0.7511,168.18,1,49
45.80431,0.7511,168.18,,
45.80431,0.7511,168.18,1,50
45.80431,0.7511,168.18,,
45.80431,0.7511,168.18,1,51
45.80431,0.7511,168.18,,
45.80431,0.7511,168.18,1,52
45.80431,0.7511,168.18,,
45.80431,0.7511,168.18,1,53
46.004303,0.7511,168.18,,
46.004303,0.7511,168.18,1,54
46.02161,0.75110006,167.48024,,
46.02161,0.75110006,167.48024,1,55
46.03892,0.75110006,166.78049,,
46.03892,0.75110006,166.78049,1,56
46.063652,0.7511,165.78085,,
46.063652,0.7511,165.78085,1,57
46.063652,0.7511,165.78085,,
46.063652,0.7511,165.78085,1,58
46.073544,0.7511,165.38098,,
46.073544,0.7511,165.38098,1,59
46.073544,0.7511,165.38098,,
46.073544,0.7511,165.38098,1,60
46.073544,0.7511,165.38098,,
46.073544,0.7511,165.38098,1,61
46.073544,0.7511,165.38098,,
46.073544,0.7511,165.38098,1,62
46.073544,0.7511,165.38098,,
46.073544,0.7511,165.38098,1,63
46.073544,0.7511,165.38098,,
46.073544,0.7511,165.38098,1,64
46.073544,0.7511,165.38098,,
46.073544,0.7511,165.38098,1,65
46.073544,0.7511,165.38098,,
46.073544,0.7511,165.38098,1,66
46.073544,0.7511,165.38098,,
46.073544,0.7511,165.38098,1,67
46.273533,0.7511,165.38098,,
