posx,posy,posz,tick,turn
3.0,0.7511,4.0,,
3.0,0.7511,4.0,1,1
3.0,0.7511,4.0,,
3.0,0.7511,4.0,1,2
3.0,0.7511,4.0,,
3.0,0.7511,4.0,1,3
3.0,0.7511,4.0,,
3.0,0.7511,4.0,1,4
3.0,0.7511,4.0,,
3.0,0.7511,4.0,1,5
3.0,0.7511,4.0,,
3.0,0.7511,4.0,1,6
3.0,0.7511,4.0,,
3.0,0.7511,4.0,1,7
3.5893736,0.75110006,3.8877382,,
3.5893736,0.75110006,3.8877382,1,8
4.289291,0.7511,3.87957,,
4.289291,0.7511,3.87957,1,9
4.989208,0.75110006,3.871402,,
4.989208,0.75110006,3.871402,1,10
5.98909,0.7511,3.859733,,
5.98909,0.7511,3.859733,1,11
5.98909,0.7511,3.859733,,
5.98909,0.7511,3.859733,1,12
5.9838448,0.75110006,3.2597861,,
5.9838448,0.75110006,3.2597861,1,13
6.6461325,0.75110006,3.4863389,,
6.6461325,0.75110006,3.4863389,1,14
7.403033,0.7511,3.7452562,,
7.403033,0.7511,3.7452562,1,15
7.403033,0.7511,3.7452562,,
7.403033,0.7511,3.7452562,1,16
7.403033,0.7511,3.7452562,,
7.403033,0.7511,3.7452562,1,17
7.403033,0.7511,3.7452562,,
7.403033,0.7511,3.7452562,1,18
7.403033,0.7511,3.7452562,,
7.403033,0.7511,3.7452562,1,19
7.403033,0.7511,3.7452562,,
7.403033,0.7511,3.7452562,1,20
7.403033,0.7511,3.7452562,,
7.403033,0.7511,3.7452562,1,21
7.403033,0.7511,3.7452562,,
7.403033,0.7511,3.7452562,1,22
7.403033,0.7511,3.7452562,,
7.403033,0.7511,3.7452562,1,23
7.2030425,0.7511,3.7452562,,
7.2030425,0.7511,3.7452562,1,24
7.2030425,0.7511,3.7452562,,
7.2030425,0.7511,3.7452562,1,25
7.2030425,0.7511,3.7452562,,
7.2030425,0.7511,3.7452562,1,26
7.2030425,0.7511,3.7452562,,
7.2030425,0.7511,3.7452562,1,27
7.2030425,0.7511,3.7452562,,
7.2030425,0.7511,3.7452562,1,28
7.2030425,0.7511,3.7452562,,
7.2030425,0.7511,3.7452562,1,29
7.2030425,0.7511,3.7452562,,
7.2030425,0.7511,3.7452562,1,30
7.2030425,0.7511,3.7452562,,
7.2030425,0.7511,3.7452562,1,31
7.0030527,0.7511,3.7452562,,
7.0030527,0.7511,3.7452562,1,32
7.399172,0.7511,3.800696,,
7.399172,0.7511,3.800696,1,33
7.5984,0.7511001,3.3421295,,
7.5984,0.7511001,3.3421295,1,34
7.7577825,0.7511,2.9752762,,
7.7577825,0.7511,2.9752762,1,35
7.8893857,0.75110006,2.3899179,,
7.8893857,0.75110006,2.3899179,1,36
7.977121,0.7511,1.9996789,,
7.977121,0.7511,1.9996789,1,37
8.094295,0.75110006,1.4112619,,
8.094295,0.75110006,1.4112619,1,38
8.17241,0.7511,1.018984,,
8.17241,0.7511,1.018984,1,39
8.17241,0.7511,1.018984,,
8.17241,0.7511,1.018984,1,40
8.17241,0.7511,1.018984,,
8.17241,0.7511,1.018984,1,41
7.9724197,0.7511,1.018984,,
7.9724197,0.7511,1.018984,1,42
8.044365,0.7511,0.94953674,,
8.044365,0.7511,0.94953674,1,43
8.0415325,0.7511,1.4495038,,
8.0415325,0.7511,1.4495038,1,44
7.971887,0.75110006,1.9446044,,
7.971887,0.75110006,1.9446044,1,45
7.902242,0.75110006,2.439705,,
7.902242,0.75110006,2.439705,1,46
7.8238716,0.75110006,2.9334993,,
