posx,posy,posz,tick,turn
68.0,0.7511,5.0,,
68.0,0.7511,5.0,1,1
68.0,0.7511,5.0,,
68.0,0.7511,5.0,1,2
68.0,0.7511,5.0,,
68.0,0.7511,5.0,1,3
68.0,0.7511,5.0,,
68.0,0.7511,5.0,1,4
68.0,0.7511,5.0,,
68.0,0.7511,5.0,1,5
68.0,0.7511,5.0,,
68.0,0.7511,5.0,1,6
68.0,0.7511,5.0,,
68.0,0.7511,5.0,1,7
68.17469,0.75110006,5.573976,,
68.17469,0.75110006,5.573976,1,8
68.45312,0.75110006,6.2153554,,
68.45312,0.75110006,6.2153554,1,9
68.70174,0.75110006,6.761389,,
68.70174,0.75110006,6.761389,1,10
68.99179,0.75110006,7.398428,,
68.99179,0.75110006,7.398428,1,11
69.13932,0.7511001,6.816879,,
69.13932,0.7511001,6.816879,1,12
69.28094,0.7511001,6.1490803,,
69.28094,0.7511001,6.1490803,1,13
69.9075,0.75110006,5.963148,,
69.9075,0.75110006,5.963148,1,14
70.59923,0.75110006,5.856082,,
70.59923,0.75110006,5.856082,1,15
70.99401,0.7511,5.8200154,,
70.99401,0.7511,5.8200154,1,16
70.99401,0.7511,5.8200154,,
70.99401,0.7511,5.8200154,1,17
70.99401,0.7511,5.8200154,,
70.99401,0.7511,5.8200154,1,18
70.99401,0.7511,5.8200154,,
70.99401,0.7511,5.8200154,1,19
70.99401,0.7511,5.8200154,,
70.99401,0.7511,5.8200154,1,20
70.99401,0.7511,5.8200154,,
70.99401,0.7511,5.8200154,1,21
70.99401,0.7511,5.8200154,,
70.99401,0.7511,5.8200154,1,22
70.99401,0.7511,5.8200154,,
70.99401,0.7511,5.8200154,1,23
70.99401,0.7511,5.8200154,,
70.99401,0.7511,5.8200154,1,24
70.79402,0.7511,5.8200154,,
70.79402,0.7511,5.8200154,1,25
70.124626,0.75110006,6.0246224,,
70.124626,0.75110006,6.0246224,1,26
69.64649,0.75110006,6.17077,,
69.64649,0.75110006,6.17077,1,27
69.40628,0.7511,6.185063,,
69.40628,0.7511,6.185063,1,28
69.17975,0.75110006,6.5497675,,
69.17975,0.75110006,6.5497675,1,29
69.17999,0.75110006,7.143609,,
69.17999,0.75110006,7.143609,1,30
69.17999,0.7511,7.4320107,,
69.17999,0.7511,7.4320107,1,31
69.17999,0.7511,7.4320107,,
69.17999,0.7511,7.4320107,1,32
69.17999,0.7511,7.4320107,,
69.17999,0.7511,7.4320107,1,33
69.17999,0.7511,7.4320107,,
69.17999,0.7511,7.4320107,1,34
69.17999,0.7511,7.4320107,,
69.17999,0.7511,7.4320107,1,35
69.17999,0.7511,7.4320107,,
69.17999,0.7511,7.4320107,1,36
69.17999,0.7511,7.4320107,,
69.17999,0.7511,7.4320107,1,37
69.17999,0.7511,7.4320107,,
69.17999,0.7511,7.4320107,1,38
69.17999,0.7511,7.4320107,,
69.17999,0.7511,7.4320107,1,39
68.98,0.7511,7.4320107,,
68.98,0.7511,7.4320107,1,40
68.62582,0.75110006,7.9162784,,
68.62582,0.75110006,7.9162784,1,41
68.2126,0.7511001,8.481257,,
68.2126,0.7511001,8.481257,1,42
67.858406,0.75110006,8.965525,,
67.858406,0.75110006,8.965525,1,43
67.44519,0.75110006,9.530505,,
67.44519,0.75110006,9.530505,1,44
66.91391,0.7511,10.256907,,
66.91391,0.7511,10.256907,1,45
66.91391,0.7511,10.256907,,
66.91391,0.7511,10.256907,1,46
66.91391,0.7511,10.256907,,
66.91391,0.7511,10.256907,1,47
66.91391,0.7511,10.256907,,
66.91391,0.7511,10.256907,1,48
66.91391,0.7511,10.256907,,
66.91391,0.7511,10.256907,1,49
66.91391,0.7511,10.256907,,
66.91391,0.7511,10.256907,1,50
66.91391,0.7511,10.256907,,
66.91391,0.7511,10.256907,1,51
66.91391,0.7511,10.256907,,
66.91391,0.7511,10.256907,1,52
66.91391,0.7511,10.256907,,
66.91391,0.7511,10.256907,1,53
66.91391,0.7511,10.256907,,
66.91391,0.7511,10.256907,1,54
66.71392,0.7511,10.256907,,
66.71392,0.7511,10.256907,1,55
66.82,0.75110006,10.871486,,
66.82,0.75110006,10.871486,1,56
66.82001,0.7511,11.240894,,
66.82001,0.7511,11.240894,1,57
66.82,0.75110006,11.811474,,
66.82,0.75110006,11.811474,1,58
66.82,0.75110006,12.45264,,
66.82,0.75110006,12.45264,1,59
66.9201,0.75110006,13.263625,,
