posx,posy,posz
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.19999,0.7511,1.0
1.4999782,0.75110006,1.3999777
1.6199734,0.7511,1.5599687
2.0337453,0.7511,1.9944303
2.516479,0.75110006,2.5013022
2.9382966,0.75110006,2.9279566
3.360114,0.75110006,3.3546112
3.6413257,0.7511,3.6390474
3.6413257,0.7511,3.6390474
3.6413257,0.7511,3.6390474
3.6413257,0.7511,3.6390474
3.6413257,0.7511,3.6390474
3.6413257,0.7511,3.6390474
3.6413257,0.7511,3.6390474
3.6413257,0.7511,3.6390474
3.8413157,0.7511,3.6390474
3.8413157,0.7511,3.6390474
4.233412,0.7511,4.0931673
4.065235,0.7511,3.9849424
4.0348153,0.75110006,4.483991
3.9618075,0.7511,5.6817083
3.9618075,0.7511,5.6817083
4.5016394,0.75110006,5.4198966
4.8615274,0.75110006,5.2453556
4.6293974,0.75110006,5.7986
4.397267,0.7511001,6.351845
4.165137,0.75110006,6.9050894
3.9330065,0.7511001,7.458334
3.9330065,0.7511,7.458334
3.9330065,0.7511,7.458334
3.9330065,0.7511,7.458334
3.9330065,0.7511,7.458334
3.9330065,0.7511,7.458334
3.9330065,0.7511,7.458334
3.9330065,0.7511,7.458334
3.9330065,0.7511,7.458334
3.9330065,0.7511,7.458334
4.1329966,0.7511,7.458334
4.1329966,0.7511,7.458334
4.1329966,0.7511,7.458334
4.1329966,0.7511,7.458334
4.1329966,0.7511,7.458334
4.1329966,0.7511,7.458334
4.1329966,0.7511,7.458334
4.1329966,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.3329864,0.7511,7.458334
4.0593867,0.7511,7.581355
4.0260196,0.75110006,8.180396
4.020006,0.75110006,8.678485
4.020006,0.75110006,9.376387
3.9977617,0.75110006,10.072788
3.9327435,0.75110006,10.669225
3.8677256,0.75110006,11.265662
3.8677256,0.7511,11.265662
3.8677256,0.7511,11.265662
3.8677256,0.7511,11.265662
3.8677256,0.7511,11.265662
3.8677256,0.7511,11.265662
3.8677256,0.7511,11.265662
3.8677256,0.7511,11.265662
3.8677256,0.7511,11.265662
3.6677356,0.7511,11.265662
3.6677356,0.7511,11.265662
4.0057073,0.7511001,10.897219
4.115475,0.75110006,10.225044
4.162838,0.75110006,9.626947
4.1799917,0.75110006,9.029344
4.1799917,0.7511,8.635727
4.187988,0.7511,8.396883
4.5200787,0.75110006,8.175267
5.0623484,0.75110006,8.133032
5.383242,0.7511,8.079955
5.383242,0.7511,8.079955
5.383242,0.7511,8.079955
5.383242,0.7511,8.079955
5.383242,0.7511,8.079955
5.383242,0.7511,8.079955
5.383242,0.7511,8.079955
5.383242,0.7511,8.079955
5.5832324,0.7511,8.079955
5.5832324,0.7511,8.079955
4.998456,0.7511,7.9457884
4.4136796,0.7511,7.811621
4.1212916,0.7511,7.7445374
4.1212916,0.7511,7.7445374
4.1212916,0.7511,7.7445374
4.1212916,0.7511,7.7445374
4.1212916,0.7511,7.7445374
4.1212916,0.7511,7.7445374
4.1212916,0.7511,7.7445374
4.1212916,0.7511,7.7445374
4.1212916,0.7511,7.7445374
4.321282,0.7511,7.7445374
4.4959593,0.75110006,7.1705585
4.6706367,0.7511001,6.5965796
4.845314,0.75110006,6.0226007
5.049104,0.7511001,5.3529587
5.0273433,0.75110006,4.7533836
5.009209,0.7511,4.2537374
5.009209,0.7511,4.2537374
5.0853224,0.7511,4.84886
5.4732423,0.7511,5.3065524
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.1844287,0.7511,6.1456547
6.2490816,0.7511,6.2219367
6.5580425,0.75110006,5.707634
6.867003,0.7511001,5.1933312
7.175964,0.75110006,4.6790285
7.484925,0.7511001,4.1647263
7.6122546,0.75110006,3.5784233
7.7395844,0.7511001,2.9921203
7.866914,0.75110006,2.4058173
7.973022,0.7511,1.9172314
7.973022,0.7511,1.9172314
7.973022,0.7511,1.9172314
7.973022,0.7511,1.9172314
7.973022,0.7511,1.9172314
7.973022,0.7511,1.9172314
7.973022,0.7511,1.9172314
7.973022,0.7511,1.9172314
8.010015,0.75110006,2.415836
7.8939824,0.7511001,3.0000567
7.745866,0.75110006,3.5814564
7.487339,0.7511001,4.122869
7.1857243,0.7511001,4.7545176
6.9702854,0.7511001,5.2056947
6.711758,0.75110006,5.7471075
6.4963193,0.75110006,6.198285
6.4963193,0.7511,6.198285
6.4963193,0.7511,6.198285
6.4963193,0.7511,6.198285
6.4963193,0.7511,6.198285
6.4963193,0.7511,6.198285
6.4963193,0.7511,6.198285
6.4963193,0.7511,6.198285
6.4963193,0.7511,6.198285
6.4963193,0.7511,6.198285
6.296329,0.7511,6.198285
6.1274514,0.7511001,6.668875
5.8910227,0.7511001,7.327702
5.789696,0.7511,7.610056
5.659655,0.75110006,7.9883065
5.772399,0.75110006,8.037655
5.8869963,0.75110006,8.089228
5.955268,0.7511,8.1553755
5.955268,0.7511,8.1553755
5.955268,0.7511,8.1553755
5.955268,0.7511,8.1553755
5.955268,0.7511,8.1553755
5.955268,0.7511,8.1553755
5.955268,0.7511,8.1553755
5.955268,0.7511,8.1553755
5.8439164,0.75109994,8.059763
5.9504304,0.7511,8.149197
6.049203,0.75110006,8.611463
