posx,posy,posz
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.5893736,0.75110006,3.8877382
4.189303,0.75110006,3.880737
4.789232,0.75110006,3.8737357
5.889102,0.7511,3.8609
5.889102,0.7511,3.8609
5.9412966,0.75110006,3.2632046
6.51075,0.75110006,3.4521143
7.1751122,0.75110006,3.6725092
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.459839,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.2598486,0.7511,3.766964
7.059859,0.7511,3.766964
7.4570932,0.7511,3.8137476
7.6327424,0.7511001,3.3456423
7.7732615,0.7511,2.9711583
7.89836,0.7511,2.384375
7.9817586,0.7511,1.9931864
8.09737,0.7511,1.4044607
8.174444,0.7511,1.0119768
8.174444,0.7511,1.0119768
8.081172,0.75110006,1.5031747
7.9931617,0.75110006,1.9953424
7.905151,0.7511,2.4875102
7.8066287,0.75110006,3.0793357
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.7245274,0.7511,3.5725236
7.924517,0.7511,3.5725236
8.268246,0.7511,3.727802
8.896197,0.75110006,3.8200016
9.49615,0.75110006,3.8245745
10.096103,0.75110006,3.829147
10.696054,0.75110006,3.83372
11.296007,0.7511,3.8382926
11.296007,0.7511,3.8382926
11.296007,0.7511,3.8382926
11.296007,0.7511,3.8382926
11.296007,0.7511,3.8382926
11.296007,0.7511,3.8382926
11.296007,0.7511,3.8382926
11.296007,0.7511,3.8382926
11.495997,0.7511,3.8382926
11.495997,0.7511,3.8382926
10.897351,0.75110006,3.7984562
10.310453,0.75110006,3.8268728
9.710695,0.75110006,3.8200023
9.01135,0.7511,3.8200026
8.71235,0.7511,3.8200026
8.370362,0.7511,3.8027325
8.179406,0.7511,3.4391134
8.179998,0.7511,2.839234
8.179998,0.75110006,2.1394637
8.179998,0.75110006,1.5399127
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
8.179998,0.7511,1.0414968
7.9800086,0.7511,1.0414968
8.015236,0.7511,1.4399223
7.944102,0.7511,2.0356605
7.896679,0.7511,2.4328194
7.8053713,0.7511,3.0258007
7.714063,0.7511,3.618782
7.714063,0.7511,3.618782
7.714063,0.7511,3.618782
7.714063,0.7511,3.618782
7.714063,0.7511,3.618782
7.714063,0.7511,3.618782
7.714063,0.7511,3.618782
7.714063,0.7511,3.618782
7.714063,0.7511,3.618782
7.714063,0.7511,3.618782
7.714063,0.7511,3.618782
7.5140734,0.7511,3.618782
7.111567,0.75110006,4.063701
6.709061,0.7511001,4.50862
6.2394705,0.75110006,5.027692
5.8369646,0.7511001,5.472611
5.367374,0.7511001,5.991683
5.0319524,0.7511001,6.3624487
4.6965303,0.75110006,6.7332144
4.6965303,0.7511,6.7332144
4.6965303,0.7511,6.7332144
