posx,posy,posz
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.19999,0.7511,1.0
1.5599759,0.75110006,1.4799732
2.0337453,0.7511,1.9944303
2.4475172,0.7511,2.428892
2.654403,0.7511,2.6461227
3.077167,0.7511,3.0718393
3.499931,0.7511,3.497556
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.8408422,0.7511,3.6394615
3.8408422,0.7511,3.6394615
4.167711,0.75110006,4.0177894
4.065005,0.7511,3.9850798
4.028537,0.7511,4.5839405
3.9616787,0.7511,5.681852
3.9616787,0.7511,5.681852
3.4538267,0.75110006,6.001305
3.0306165,0.7511,6.2675157
3.2791944,0.75110006,6.701318
3.6272032,0.75110006,7.3086405
4.2517676,0.7511001,7.223608
4.7308083,0.75110006,7.0804477
4.7308083,0.7511,7.0804477
4.7308083,0.7511,7.0804477
4.7308083,0.7511,7.0804477
4.7308083,0.7511,7.0804477
4.7308083,0.7511,7.0804477
4.7308083,0.7511,7.0804477
4.7308083,0.7511,7.0804477
4.7308083,0.7511,7.0804477
4.7308083,0.7511,7.0804477
4.7308083,0.7511,7.0804477
4.9307985,0.7511,7.0804477
4.4050164,0.75110006,7.369441
4.054495,0.75110006,7.5621037
3.770315,0.75110006,7.973463
3.770315,0.7511,7.973463
3.770315,0.7511,7.973463
3.770315,0.7511,7.973463
3.770315,0.7511,7.973463
3.770315,0.7511,7.973463
3.770315,0.7511,7.973463
3.770315,0.7511,7.973463
3.770315,0.7511,7.973463
3.570325,0.7511,7.973463
3.570325,0.7511,7.973463
3.637985,0.7511,7.8998346
4.1385727,0.75110006,7.569114
4.63916,0.7511001,7.238394
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.8060226,0.7511,7.128154
4.285064,0.75110006,7.4257545
4.111411,0.7511,7.524955
4.140182,0.7511,8.124234
4.1737475,0.75110006,8.823394
4.179995,0.75110006,9.422513
4.179995,0.7511,10.119253
4.179995,0.7511,10.316068
4.179995,0.7511,10.316068
4.179995,0.7511,10.316068
4.179995,0.7511,10.316068
4.179995,0.7511,10.316068
4.179995,0.7511,10.316068
4.179995,0.7511,10.316068
4.179995,0.7511,10.316068
4.179995,0.7511,10.316068
4.179995,0.7511,10.516058
4.179995,0.7511,10.516058
4.179996,0.75110006,9.817055
4.179996,0.75110006,9.218593
4.179996,0.75110006,8.626371
4.1909385,0.7511,8.388491
4.5415626,0.75110006,8.1799965
5.076357,0.75110006,8.123325
5.31704,0.75109994,8.078462
5.31704,0.75109994,8.078462
5.31704,0.75109994,8.078462
5.31704,0.75109994,8.078462
5.31704,0.75109994,8.078462
5.31704,0.75109994,8.078462
5.31704,0.75109994,8.078462
5.31704,0.75109994,8.078462
5.31704,0.75109994,8.078462
5.51703,0.7511,8.078462
5.51703,0.7511,8.078462
4.9333105,0.7511,7.93977
4.252304,0.75110006,7.777963
4.0577307,0.7511,7.731733
4.0577307,0.7511,7.731733
4.0577307,0.7511,7.731733
4.0577307,0.7511,7.731733
4.0577307,0.7511,7.731733
4.0577307,0.7511,7.731733
4.0577307,0.7511,7.731733
4.0577307,0.7511,7.731733
4.0577307,0.7511,7.731733
4.0577307,0.7511,7.731733
4.0577307,0.7511,7.731733
3.8577409,0.7511,7.731733
3.855006,0.75110006,7.1317687
3.8522708,0.75110006,6.531805
3.849536,0.75110006,5.9318414
3.846345,0.75110006,5.2318835
3.84361,0.75110006,4.63192
3.8413308,0.75110006,4.13195
4.4374475,0.7511,4.064064
4.735506,0.7511,4.030121
4.735506,0.7511,4.030121
4.735506,0.7511,4.030121
4.9354963,0.7511,4.030121
4.3443623,0.7511,3.9275308
4.147318,0.7511,3.8933342
4.520091,0.75110006,4.363445
4.892864,0.75110006,4.8335557
5.303449,0.75110006,5.2704506
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.0700526,0.7511,6.0592465
6.2091703,0.7511,6.2029204
6.5262237,0.75110006,5.693567
6.8432775,0.7511001,5.184213
7.160331,0.75110006,4.6748595
7.4773846,0.7511001,4.1655064
7.55113,0.75110006,3.481008
7.579723,0.75110006,2.8817198
7.608316,0.75110006,2.2824316
7.6321435,0.7511,1.7830247
7.6321435,0.7511,1.7830247
7.6321435,0.7511,1.7830247
7.6321435,0.7511,1.7830247
7.6321435,0.7511,1.7830247
7.6321435,0.7511,1.7830247
7.6321435,0.7511,1.7830247
7.6321435,0.7511,1.7830247
7.6607366,0.7511,1.1837363
7.6650877,0.7511,1.7836907
7.6694384,0.7511,2.3836448
7.6745143,0.75110006,3.0835915
7.67814,0.7511,3.5835533
7.471525,0.7511001,4.0388393
7.2235875,0.75110006,4.5851827
6.97565,0.7511001,5.131526
6.769035,0.75110006,5.5868115
6.769035,0.7511,5.5868115
6.769035,0.7511,5.5868115
6.769035,0.7511,5.5868115
6.769035,0.7511,5.5868115
6.769035,0.7511,5.5868115
6.769035,0.7511,5.5868115
