posx,posy,posz,tick,turn
87.0,0.7511,104.0,,
87.0,0.7511,104.0,1,1
87.0,0.7511,104.0,,
87.0,0.7511,104.0,1,2
87.0,0.7511,104.0,,
87.0,0.7511,104.0,1,3
87.0,0.7511,104.0,,
87.0,0.7511,104.0,1,4
87.0,0.7511,104.0,,
87.0,0.7511,104.0,1,5
87.0,0.7511,104.0,,
87.0,0.7511,104.0,1,6
87.0,0.7511,104.0,,
87.0,0.7511,104.0,1,7
87.0,0.7511,104.0,,
87.0,0.7511,104.0,1,8
86.92239,0.7511,104.06306,,
86.92239,0.7511,104.06306,1,9
87.08192,0.75110006,104.7446,,
87.08192,0.75110006,104.7446,1,10
87.17307,0.7511,105.13405,,
87.17307,0.7511,105.13405,1,11
87.17307,0.7511,105.13405,,
87.17307,0.7511,105.13405,1,12
87.77002,0.75110006,105.17999,,
87.77002,0.75110006,105.17999,1,13
88.067116,0.7511,105.17999,,
88.067116,0.7511,105.17999,1,14
88.68803,0.75110006,104.85685,,
88.68803,0.75110006,104.85685,1,15
88.95413,0.7511,104.71836,,
88.95413,0.7511,104.71836,1,16
88.95413,0.7511,104.71836,,
88.95413,0.7511,104.71836,1,17
88.95413,0.7511,104.71836,,
88.95413,0.7511,104.71836,1,18
88.95413,0.7511,104.71836,,
88.95413,0.7511,104.71836,1,19
88.95413,0.7511,104.71836,,
88.95413,0.7511,104.71836,1,20
88.95413,0.7511,104.71836,,
88.95413,0.7511,104.71836,1,21
88.95413,0.7511,104.71836,,
88.95413,0.7511,104.71836,1,22
88.95413,0.7511,104.71836,,
88.95413,0.7511,104.71836,1,23
88.95413,0.7511,104.51837,,
88.95413,0.7511,104.51837,1,24
88.95413,0.7511,104.51837,,
88.95413,0.7511,104.51837,1,25
88.55808,0.75110006,104.969055,,
88.55808,0.75110006,104.969055,1,26
87.90187,0.7511,105.15197,,
87.90187,0.7511,105.15197,1,27
87.384575,0.7511,105.19249,,
87.384575,0.7511,105.19249,1,28
86.6951,0.75110006,105.31322,,
86.6951,0.75110006,105.31322,1,29
86.00562,0.75110006,105.433945,,
86.00562,0.75110006,105.433945,1,30
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,31
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,32
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,33
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,34
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,35
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,36
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,37
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,38
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,39
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,40
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,41
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,42
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,43
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,44
85.71014,0.7511,105.48568,,
85.71014,0.7511,105.48568,1,45
85.51014,0.7511,105.48568,,
85.51014,0.7511,105.48568,1,46
85.21284,0.7511,104.964554,,
85.21284,0.7511,104.964554,1,47
84.81644,0.7511,104.269714,,
84.81644,0.7511,104.269714,1,48
84.61823,0.7511,103.922295,,
84.61823,0.7511,103.922295,1,49
83.91965,0.75110006,103.878426,,
83.91965,0.75110006,103.878426,1,50
83.221054,0.7511,103.83455,,
83.221054,0.7511,103.83455,1,51
82.42267,0.7511,103.78442,,
82.42267,0.7511,103.78442,1,52
81.823875,0.7511,103.74681,,
81.823875,0.7511,103.74681,1,53
81.52448,0.7511,103.728004,,
81.52448,0.7511,103.728004,1,54
81.52448,0.7511,103.728004,,
81.52448,0.7511,103.728004,1,55
81.52448,0.7511,103.728004,,
81.52448,0.7511,103.728004,1,56
81.52448,0.7511,103.728004,,
81.52448,0.7511,103.728004,1,57
81.52448,0.7511,103.728004,,
81.52448,0.7511,103.728004,1,58
81.52448,0.7511,103.728004,,
81.52448,0.7511,103.728004,1,59
81.52448,0.7511,103.728004,,
81.52448,0.7511,103.728004,1,60
81.02549,0.7511,103.69667,,
81.02549,0.7511,103.69667,1,61
80.98393,0.75110006,104.2952,,
80.98393,0.75110006,104.2952,1,62
80.92851,0.75110006,105.09323,,
80.92851,0.75110006,105.09323,1,63
80.8731,0.75110006,105.89127,,
80.8731,0.75110006,105.89127,1,64
80.82001,0.75110006,106.68931,,
80.82001,0.75110006,106.68931,1,65
80.82001,0.75110006,107.28507,,
80.82001,0.75110006,107.28507,1,66
80.82001,0.7511,107.28507,,
80.82001,0.7511,107.28507,1,67
80.82001,0.7511,107.28507,,
80.82001,0.7511,107.28507,1,68
80.82001,0.7511,107.28507,,
80.82001,0.7511,107.28507,1,69
80.82001,0.7511,107.28507,,
80.82001,0.7511,107.28507,1,70
80.82001,0.7511,107.28507,,
80.82001,0.7511,107.28507,1,71
80.82001,0.7511,107.28507,,
80.82001,0.7511,107.28507,1,72
80.82001,0.7511,107.28507,,
80.82001,0.7511,107.28507,1,73
80.82001,0.7511,107.28507,,
80.82001,0.7511,107.28507,1,74
80.82001,0.7511,107.28507,,
80.82001,0.7511,107.28507,1,75
81.02,0.7511,107.28507,,
81.02,0.7511,107.28507,1,76
81.67582,0.75110006,107.52971,,
81.67582,0.75110006,107.52971,1,77
82.42533,0.75110006,107.80929,,
82.42533,0.75110006,107.80929,1,78
83.08116,0.7511,108.053925,,
83.08116,0.7511,108.053925,1,79
83.36223,0.7511,108.15877,,
83.36223,0.7511,108.15877,1,80
83.600494,0.7511,108.18716,,
83.600494,0.7511,108.18716,1,81
83.865105,0.7511,108.68497,,
83.865105,0.7511,108.68497,1,82
83.97631,0.7511,109.27454,,
83.97631,0.7511,109.27454,1,83
84.08751,0.7511,109.86412,,
84.08751,0.7511,109.86412,1,84
84.08751,0.7511,109.86412,,
84.08751,0.7511,109.86412,1,85
84.08751,0.7511,109.86412,,
84.08751,0.7511,109.86412,1,86
84.08751,0.7511,109.86412,,
84.08751,0.7511,109.86412,1,87
84.08751,0.7511,109.86412,,
84.08751,0.7511,109.86412,1,88
84.08751,0.7511,109.86412,,
84.08751,0.7511,109.86412,1,89
84.08751,0.7511,109.86412,,
84.08751,0.7511,109.86412,1,90
84.185356,0.7511,109.37381,,
84.185356,0.7511,109.37381,1,91
84.2734,0.7511,109.967285,,
84.2734,0.7511,109.967285,1,92
84.37611,0.75110006,110.659676,,
84.37611,0.75110006,110.659676,1,93
84.4348,0.7511,111.05533,,
84.4348,0.7511,111.05533,1,94
84.33839,0.7511,111.6475,,
84.33839,0.7511,111.6475,1,95
84.20984,0.7511,112.437065,,
84.20984,0.7511,112.437065,1,96
84.09736,0.75110006,113.12793,,
84.09736,0.75110006,113.12793,1,97
83.98488,0.7511,113.8188,,
83.98488,0.7511,113.8188,1,98
83.93667,0.7511,114.11488,,
83.93667,0.7511,114.11488,1,99
83.93667,0.7511,114.11488,,
83.93667,0.7511,114.11488,1,100
83.93667,0.7511,114.11488,,
83.93667,0.7511,114.11488,1,101
83.93667,0.7511,114.11488,,
83.93667,0.7511,114.11488,1,102
83.93667,0.7511,114.11488,,
83.93667,0.7511,114.11488,1,103
83.93667,0.7511,114.11488,,
83.93667,0.7511,114.11488,1,104
83.93667,0.7511,114.11488,,
83.93667,0.7511,114.11488,1,105
84.0208,0.7511,114.06084,,
84.0208,0.7511,114.06084,1,106
84.28249,0.75110006,114.71004,,
84.28249,0.75110006,114.71004,1,107
84.39465,0.7511,114.988266,,
84.39465,0.7511,114.988266,1,108
84.3018,0.7511,115.58101,,
84.3018,0.7511,115.58101,1,109
84.16254,0.75110006,116.47012,,
84.16254,0.75110006,116.47012,1,110
84.05422,0.7511,117.16166,,
84.05422,0.7511,117.16166,1,111
83.93043,0.7511,117.95198,,
83.93043,0.7511,117.95198,1,112
83.85305,0.75110006,118.44593,,
83.85305,0.75110006,118.44593,1,113
83.820015,0.7511,118.7423,,
83.820015,0.7511,118.7423,1,114
83.820015,0.7511,118.7423,,
83.820015,0.7511,118.7423,1,115
