posx,posy,posz,tick,turn
1.0,0.7511,1.0,,
1.0,0.7511,1.0,1,1
1.0,0.7511,1.0,,
1.0,0.7511,1.0,1,2
1.0,0.7511,1.0,,
1.0,0.7511,1.0,1,3
1.0,0.7511,1.0,,
1.0,0.7511,1.0,1,4
1.0,0.7511,1.0,,
1.0,0.7511,1.0,1,5
1.0,0.7511,1.0,,
1.0,0.7511,1.0,1,6
1.0,0.7511,1.0,,
1.0,0.7511,1.0,1,7
1.0,0.7511,1.0,,
1.0,0.7511,1.0,1,8
1.19999,0.7511,1.0,,
1.19999,0.7511,1.0,1,9
1.6199734,0.75110006,1.5599687,,
1.6199734,0.75110006,1.5599687,1,10
2.1027074,0.75110006,2.0668406,,
2.1027074,0.75110006,2.0668406,1,11
2.516479,0.75110006,2.5013022,,
2.516479,0.75110006,2.5013022,1,12
2.937328,0.75110006,2.9288893,,
2.937328,0.75110006,2.9288893,1,13
3.42997,0.75110006,3.4261367,,
3.42997,0.75110006,3.4261367,1,14
3.641102,0.7511,3.6392426,,
3.641102,0.7511,3.6392426,1,15
3.641102,0.7511,3.6392426,,
3.641102,0.7511,3.6392426,1,16
3.641102,0.7511,3.6392426,,
3.641102,0.7511,3.6392426,1,17
3.641102,0.7511,3.6392426,,
3.641102,0.7511,3.6392426,1,18
3.641102,0.7511,3.6392426,,
3.641102,0.7511,3.6392426,1,19
3.641102,0.7511,3.6392426,,
3.641102,0.7511,3.6392426,1,20
3.641102,0.7511,3.6392426,,
3.641102,0.7511,3.6392426,1,21
3.641102,0.7511,3.6392426,,
3.641102,0.7511,3.6392426,1,22
3.641102,0.7511,3.6392426,,
3.641102,0.7511,3.6392426,1,23
3.841092,0.7511,3.6392426,,
3.841092,0.7511,3.6392426,1,24
3.841092,0.7511,3.6392426,,
3.841092,0.7511,3.6392426,1,25
4.4124928,0.75110006,3.456307,,
4.4124928,0.75110006,3.456307,1,26
5.0791264,0.7511001,3.2428818,,
5.0791264,0.7511001,3.2428818,1,27
5.7457604,0.7511001,3.0294569,,
5.7457604,0.7511001,3.0294569,1,28
6.126694,0.7511,2.9074996,,
6.126694,0.7511,2.9074996,1,29
6.542714,0.75110006,2.4751904,,
6.542714,0.75110006,2.4751904,1,30
6.820061,0.7511,2.1869843,,
6.820061,0.7511,2.1869843,1,31
6.820061,0.7511,2.1869843,,
6.820061,0.7511,2.1869843,1,32
6.820061,0.7511,2.1869843,,
6.820061,0.7511,2.1869843,1,33
6.820061,0.7511,2.1869843,,
6.820061,0.7511,2.1869843,1,34
6.820061,0.7511,2.1869843,,
6.820061,0.7511,2.1869843,1,35
6.820061,0.7511,2.1869843,,
6.820061,0.7511,2.1869843,1,36
6.820061,0.7511,2.1869843,,
6.820061,0.7511,2.1869843,1,37
6.820061,0.7511,2.1869843,,
6.820061,0.7511,2.1869843,1,38
6.820061,0.7511,2.1869843,,
6.820061,0.7511,2.1869843,1,39
6.820061,0.7511,2.1869843,,
6.820061,0.7511,2.1869843,1,40
6.5436134,0.7511,2.6035798,,
6.5436134,0.7511,2.6035798,1,41
6.94961,0.7511,3.0453157,,
6.94961,0.7511,3.0453157,1,42
7.423273,0.75110006,3.5606742,,
7.423273,0.75110006,3.5606742,1,43
7.029507,0.7511001,4.0133467,,
7.029507,0.7511001,4.0133467,1,44
6.6357417,0.75110006,4.4660196,,
6.6357417,0.75110006,4.4660196,1,45
6.241976,0.7511001,4.918692,,
6.241976,0.7511001,4.918692,1,46
5.7169547,0.7511001,5.5222554,,
5.7169547,0.7511001,5.5222554,1,47
5.323189,0.75110006,5.9749284,,
5.323189,0.75110006,5.9749284,1,48
5.126306,0.7511,6.2012644,,
5.126306,0.7511,6.2012644,1,49
5.126306,0.7511,6.2012644,,
5.126306,0.7511,6.2012644,1,50
5.126306,0.7511,6.2012644,,
5.126306,0.7511,6.2012644,1,51
5.126306,0.7511,6.2012644,,
5.126306,0.7511,6.2012644,1,52
5.126306,0.7511,6.2012644,,
5.126306,0.7511,6.2012644,1,53
5.126306,0.7511,6.2012644,,
5.126306,0.7511,6.2012644,1,54
5.126306,0.7511,6.2012644,,
5.126306,0.7511,6.2012644,1,55
4.926316,0.7511,6.2012644,,
4.926316,0.7511,6.2012644,1,56
5.032103,0.7511,5.6106944,,
5.032103,0.7511,5.6106944,1,57
4.758685,0.7511001,6.036913,,
4.758685,0.7511001,6.036913,1,58
4.4172816,0.7511001,6.6479726,,
4.4172816,0.7511001,6.6479726,1,59
4.124387,0.75110006,7.1715913,,
4.124387,0.75110006,7.1715913,1,60
3.9779394,0.7511,7.4334006,,
3.9779394,0.7511,7.4334006,1,61
3.630829,0.75110006,7.922766,,
3.630829,0.75110006,7.922766,1,62
3.5729775,0.7511,8.004327,,
3.5729775,0.7511,8.004327,1,63
3.5729775,0.7511,8.004327,,
3.5729775,0.7511,8.004327,1,64
3.5729775,0.7511,8.004327,,
3.5729775,0.7511,8.004327,1,65
3.5729775,0.7511,8.004327,,
3.5729775,0.7511,8.004327,1,66
3.5729775,0.7511,8.004327,,
3.5729775,0.7511,8.004327,1,67
3.5729775,0.7511,8.004327,,
3.5729775,0.7511,8.004327,1,68
3.5729775,0.7511,8.004327,,
3.5729775,0.7511,8.004327,1,69
3.5729775,0.7511,8.004327,,
3.5729775,0.7511,8.004327,1,70
3.3729875,0.7511,8.004327,,
3.3729875,0.7511,8.004327,1,71
3.3729875,0.7511,8.004327,,
3.3729875,0.7511,8.004327,1,72
3.6193829,0.7511,7.8332124,,
3.6193829,0.7511,7.8332124,1,73
3.327131,0.7511,7.3092346,,
3.327131,0.7511,7.3092346,1,74
2.9861705,0.75110006,6.697927,,
2.9861705,0.75110006,6.697927,1,75
2.9910572,0.75110006,6.0979767,,
2.9910572,0.75110006,6.0979767,1,76
2.996758,0.7511,5.398035,,
2.996758,0.7511,5.398035,1,77
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,78
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,79
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,80
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,81
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,82
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,83
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,84
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,85
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,86
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,87
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,88
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,89
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,90
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,91
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,92
2.9975724,0.7511,5.2980433,,
2.9975724,0.7511,5.2980433,1,93
2.9021227,0.75110006,5.8903723,,
2.9021227,0.75110006,5.8903723,1,94
2.854398,0.7511,6.1865363,,
2.854398,0.7511,6.1865363,1,95
2.69718,0.75110006,6.765541,,
2.69718,0.75110006,6.765541,1,96
2.513759,0.7511001,7.4410467,,
2.513759,0.7511001,7.4410467,1,97
2.5561233,0.75110006,7.939224,,
2.5561233,0.75110006,7.939224,1,98
2.726828,0.75110006,8.030603,,
2.726828,0.75110006,8.030603,1,99
3.0060782,0.75110006,8.230362,,
3.0060782,0.75110006,8.230362,1,100
3.0526564,0.75110006,8.825651,,
3.0526564,0.75110006,8.825651,1,101
3.0903697,0.7511,9.5246,,
3.0903697,0.7511,9.5246,1,102
3.1011448,0.7511,9.724299,,
3.1011448,0.7511,9.724299,1,103
3.1011448,0.7511,9.724299,,
3.1011448,0.7511,9.724299,1,104
3.1011448,0.7511,9.724299,,
3.1011448,0.7511,9.724299,1,105
3.1011448,0.7511,9.724299,,
3.1011448,0.7511,9.724299,1,106
3.1011448,0.7511,9.724299,,
3.1011448,0.7511,9.724299,1,107
3.1011448,0.7511,9.724299,,
3.1011448,0.7511,9.724299,1,108
3.1011448,0.7511,9.92429,,
3.1011448,0.7511,9.92429,1,109
3.179432,0.7511,10.316533,,
3.179432,0.7511,10.316533,1,110
3.0511646,0.7511,9.730434,,
3.0511646,0.7511,9.730434,1,111
3.0200214,0.75110006,9.054197,,
3.0200214,0.75110006,9.054197,1,112
3.0200214,0.75109994,8.559315,,
3.0200214,0.75109994,8.559315,1,113
3.0177164,0.7511,8.300812,,
3.0177164,0.7511,8.300812,1,114
2.6808064,0.7511,7.9847164,,
2.6808064,0.7511,7.9847164,1,115
2.7333026,0.75110006,7.387048,,
2.7333026,0.75110006,7.387048,1,116
2.7945483,0.75110006,6.6897674,,
2.7945483,0.75110006,6.6897674,1,117
2.8669627,0.75110006,6.0941834,,
2.8669627,0.75110006,6.0941834,1,118
2.9393773,0.75110006,5.4985995,,
2.9393773,0.75110006,5.4985995,1,119
2.9635155,0.7511,5.3000717,,
2.9635155,0.7511,5.3000717,1,120
2.9635155,0.7511,5.3000717,,
2.9635155,0.7511,5.3000717,1,121
2.9635155,0.7511,5.3000717,,
2.9635155,0.7511,5.3000717,1,122
2.9635155,0.7511,5.3000717,,
2.9635155,0.7511,5.3000717,1,123
2.9635155,0.7511,5.3000717,,
2.9635155,0.7511,5.3000717,1,124
2.9635155,0.7511,5.3000717,,
2.9635155,0.7511,5.3000717,1,125
2.9635155,0.7511,5.3000717,,
2.9635155,0.7511,5.3000717,1,126
2.9635155,0.7511,5.3000717,,
2.9635155,0.7511,5.3000717,1,127
2.9635155,0.7511,5.3000717,,
2.9635155,0.7511,5.3000717,1,128
2.9635155,0.7511,5.3000717,,
2.9635155,0.7511,5.3000717,1,129
2.885891,0.75110006,5.894999,,
2.885891,0.75110006,5.894999,1,130
2.8600163,0.7511,6.093308,,
2.8600163,0.7511,6.093308,1,131
2.7340322,0.7511001,6.57715,,
2.7340322,0.7511001,6.57715,1,132
2.5576544,0.7511001,7.2545285,,
2.5576544,0.7511001,7.2545285,1,133
2.456867,0.75110006,7.641602,,
2.456867,0.75110006,7.641602,1,134
2.51933,0.7511,7.935012,,
2.51933,0.7511,7.935012,1,135
2.715387,0.7511,8.029911,,
2.715387,0.7511,8.029911,1,136
2.8241968,0.75110006,8.054273,,
2.8241968,0.75110006,8.054273,1,137
2.9354315,0.75110006,8.131831,,
2.9354315,0.75110006,8.131831,1,138
2.951251,0.7511,8.150224,,
2.951251,0.7511,8.150224,1,139
2.951251,0.7511,8.150224,,
2.951251,0.7511,8.150224,1,140
2.951251,0.7511,8.150224,,
2.951251,0.7511,8.150224,1,141
2.951251,0.7511,8.150224,,
2.951251,0.7511,8.150224,1,142
2.951251,0.7511,8.150224,,
2.951251,0.7511,8.150224,1,143
2.951251,0.7511,8.150224,,
2.951251,0.7511,8.150224,1,144
2.8369136,0.7511,8.056345,,
2.8369136,0.7511,8.056345,1,145
2.944872,0.75110006,8.142464,,
2.944872,0.75110006,8.142464,1,146
3.0200129,0.75110006,8.672078,,
3.0200129,0.75110006,8.672078,1,147
3.0200129,0.75110006,9.264954,,
3.0200129,0.75110006,9.264954,1,148
3.0200129,0.7511,9.8481045,,
3.0200129,0.7511,9.8481045,1,149
2.8407862,0.7511,10.409615,,
2.8407862,0.7511,10.409615,1,150
2.790905,0.7511,10.651922,,
2.790905,0.7511,10.651922,1,151
2.790905,0.7511,10.651922,,
