posx,posy,posz,tick,turn
102.0,0.7511,182.0,,
102.0,0.7511,182.0,1,1
102.0,0.7511,182.0,,
102.0,0.7511,182.0,1,2
102.0,0.7511,182.0,,
102.0,0.7511,182.0,1,3
102.0,0.7511,182.0,,
102.0,0.7511,182.0,1,4
102.0,0.7511,182.0,,
102.0,0.7511,182.0,1,5
102.0,0.7511,182.0,,
102.0,0.7511,182.0,1,6
102.0,0.7511,182.0,,
102.0,0.7511,182.0,1,7
102.0,0.7511,182.0,,
102.0,0.7511,182.0,1,8
101.93492,0.7511,181.92407,,
101.93492,0.7511,181.92407,1,9
101.23726,0.75110006,181.98073,,
101.23726,0.75110006,181.98073,1,10
101.23726,0.7511,181.98073,,
101.23726,0.7511,181.98073,1,11
101.23726,0.7511,181.98073,,
101.23726,0.7511,181.98073,1,12
101.23726,0.7511,181.98073,,
101.23726,0.7511,181.98073,1,13
101.23726,0.7511,181.98073,,
101.23726,0.7511,181.98073,1,14
101.23726,0.7511,181.98073,,
101.23726,0.7511,181.98073,1,15
101.23726,0.7511,181.98073,,
101.23726,0.7511,181.98073,1,16
101.23726,0.7511,181.98073,,
101.23726,0.7511,181.98073,1,17
101.23726,0.7511,181.98073,,
101.23726,0.7511,181.98073,1,18
101.5057,0.7511,181.84683,,
101.5057,0.7511,181.84683,1,19
102.04433,0.75110006,181.58255,,
102.04433,0.75110006,181.58255,1,20
102.582954,0.7511001,181.31827,,
102.582954,0.7511001,181.31827,1,21
103.12158,0.75110006,181.05399,,
103.12158,0.75110006,181.05399,1,22
103.48067,0.75110006,180.8778,,
103.48067,0.75110006,180.8778,1,23
104.08046,0.7511,180.86328,,
104.08046,0.7511,180.86328,1,24
104.68025,0.7511,180.84875,,
104.68025,0.7511,180.84875,1,25
105.28005,0.7511,180.83423,,
105.28005,0.7511,180.83423,1,26
105.879845,0.7511,180.81999,,
105.879845,0.7511,180.81999,1,27
106.42084,0.75110006,180.82,,
106.42084,0.75110006,180.82,1,28
106.42084,0.7511,180.82,,
106.42084,0.7511,180.82,1,29
106.42084,0.7511,180.82,,
106.42084,0.7511,180.82,1,30
106.42084,0.7511,180.82,,
106.42084,0.7511,180.82,1,31
106.42084,0.7511,180.82,,
106.42084,0.7511,180.82,1,32
106.42084,0.7511,180.82,,
106.42084,0.7511,180.82,1,33
106.42084,0.7511,180.82,,
106.42084,0.7511,180.82,1,34
106.99084,0.75110006,180.82,,
106.99084,0.75110006,180.82,1,35
107.28938,0.7511,180.82002,,
107.28938,0.7511,180.82002,1,36
107.48351,0.75110006,181.38771,,
107.48351,0.75110006,181.38771,1,37
107.677635,0.75110006,181.95541,,
107.677635,0.75110006,181.95541,1,38
107.87176,0.75110006,182.5231,,
107.87176,0.75110006,182.5231,1,39
108.06588,0.75110006,183.0908,,
108.06588,0.75110006,183.0908,1,40
108.16294,0.7511,183.37465,,
108.16294,0.7511,183.37465,1,41
108.16294,0.7511,183.37465,,
108.16294,0.7511,183.37465,1,42
108.16294,0.7511,183.37465,,
108.16294,0.7511,183.37465,1,43
108.16294,0.7511,183.37465,,
108.16294,0.7511,183.37465,1,44
108.16294,0.7511,183.37465,,
108.16294,0.7511,183.37465,1,45
108.16294,0.7511,183.37465,,
