posx,posy,posz
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.19999
0.9418713,0.75110006,1.8975372
0.8920467,0.75110006,2.4954348
0.8339179,0.75110006,3.192982
0.82000834,0.7511,3.5912204
1.3869239,0.7511,3.7876146
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.7648677,0.7511,3.918544
1.2664751,0.75110006,3.8787968
1.120484,0.7511,4.469027
1.0355774,0.7511,5.5656905
1.0355774,0.7511,5.5656905
1.4675,0.7511001,5.3138614
2.063053,0.7511001,4.9461446
2.5723987,0.75110006,4.6290784
3.0817442,0.7511001,4.312012
3.506199,0.7511001,4.04779
3.59109,0.7511,3.9949458
3.59109,0.7511,3.9949458
3.59109,0.7511,3.9949458
3.59109,0.7511,3.9949458
3.59109,0.7511,3.9949458
3.59109,0.7511,3.9949458
3.59109,0.7511,3.9949458
3.79108,0.7511,3.9949458
3.79108,0.7511,3.9949458
4.284763,0.7511,4.335887
4.0177,0.7511,4.0381265
4.46922,0.75110006,4.2528462
5.1013484,0.7511,4.5534544
5.6431723,0.7511,4.8111186
6.636516,0.7511,5.283503
6.4353447,0.7511,5.5060363
6.4353447,0.7511,5.5060363
6.4353447,0.7511,5.5060363
6.4353447,0.7511,5.5060363
6.4353447,0.7511,5.5060363
6.4353447,0.7511,5.5060363
6.4353447,0.7511,5.5060363
6.4353447,0.7511,5.5060363
6.4353447,0.7511,5.5060363
6.4353447,0.7511,5.5060363
6.4353447,0.7511,5.5060363
6.6353345,0.7511,5.5060363
6.4576664,0.7511,5.597851
6.761409,0.75110006,6.1152525
7.0651517,0.75110006,6.632654
7.368894,0.75110006,7.150056
7.5207653,0.7511,7.4087567
7.070595,0.75110006,7.8053803
6.770481,0.75110006,8.069797
6.770481,0.7511,8.069797
6.770481,0.7511,8.069797
6.770481,0.7511,8.069797
6.770481,0.7511,8.069797
6.770481,0.7511,8.069797
6.770481,0.7511,8.069797
6.770481,0.7511,8.069797
6.5704913,0.7511,8.069797
6.5704913,0.7511,8.069797
7.1365438,0.75110006,7.870929
7.41957,0.7511,7.771495
7.3759995,0.75110006,7.173109
7.325167,0.75110006,6.4749923
7.2815967,0.75110006,5.8766065
7.0981007,0.75110006,5.3053856
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.0675178,0.7511,5.210182
7.1598506,0.7511,5.387582
7.1985955,0.7511,4.788864
7.210925,0.7511,4.191427
7.210925,0.7511,4.092393
7.2109275,0.7511,3.694429
7.281334,0.7511,3.1033797
7.4001827,0.75110006,2.4135807
7.501477,0.75110006,1.8222233
7.602771,0.75110006,1.230866
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.636535,0.7511,1.0337468
7.4365454,0.7511,1.0337468
7.3922777,0.7511,1.6320815
7.3406324,0.75110006,2.3301387
7.2963653,0.75110006,2.9284732
7.206889,0.75110006,3.4802063
7.2109323,0.75110006,4.0780573
7.2109294,0.75110006,4.676626
7.2109294,0.75110006,5.1748385
7.2109294,0.7511,5.1748385
7.2109294,0.7511,5.1748385
7.2109294,0.7511,5.1748385
7.2109294,0.7511,5.1748385
7.2109294,0.7511,5.1748385
7.2109294,0.7511,5.1748385
7.2109294,0.7511,5.1748385
7.2109294,0.7511,5.274108
7.278276,0.75110006,5.860424
7.407622,0.75110006,6.4462857
7.5369678,0.75110006,7.0321474
7.623198,0.75110006,7.4227214
7.414191,0.75110006,7.9851093
7.2402787,0.7511,8.302821
7.179992,0.7511,8.857164
7.179992,0.7511,9.451183
7.179992,0.7511,9.739738
7.179992,0.7511,9.739738
7.179992,0.7511,9.739738
7.179992,0.7511,9.739738
7.179992,0.7511,9.739738
7.179992,0.7511,9.739738
7.179992,0.7511,9.939729
7.179992,0.75110006,10.334628
7.179992,0.7511,10.334628
7.212928,0.7511,10.658059
7.498772,0.7511,11.18556
7.64702,0.75110006,11.763225
7.7677484,0.75110006,12.350923
7.879521,0.75110006,13.0418005
7.9558973,0.75110006,13.535908
8.001723,0.7511,13.832372
8.001723,0.7511,13.832372
8.001723,0.7511,13.832372
8.001723,0.7511,13.832372
8.001723,0.7511,13.832372
8.001723,0.7511,13.832372
8.001723,0.7511,13.832372
8.001723,0.7511,13.832372
8.001723,0.7511,13.832372
8.001723,0.7511,13.832372
8.001723,0.7511,13.832372
8.001723,0.7511,14.032362
8.099057,0.7511,14.624384
8.179984,0.7511,15.117736
8.179984,0.7511,15.117736
8.179984,0.7511,15.117736
7.9799943,0.7511,15.117736
7.9799943,0.7511,15.117736
7.9799943,0.7511,15.117736
7.9799943,0.7511,15.117736
7.9799943,0.7511,15.117736
7.9799943,0.7511,15.117736
7.9799943,0.7511,15.117736
7.9799943,0.7511,15.117736
7.9799943,0.7511,15.117736
7.780004,0.7511,15.117736
7.780004,0.7511,15.117736
7.7643,0.75110006,15.617464
7.742314,0.7511,16.317083
7.7109056,0.7511,17.31654
7.6920605,0.7511,17.916214
7.6889195,0.7511,18.01616
7.6889195,0.7511,18.01616
