posx,posy,posz
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.0,0.7511,1.0
1.19999,0.7511,1.0
1.4999782,0.75110006,1.3999777
1.6199734,0.7511,1.5599687
1.9647833,0.75110006,1.92202
2.4475172,0.7511,2.428892
2.654403,0.7511,2.6461227
3.077167,0.7511,3.0718393
3.5703917,0.75110006,3.5685086
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.6408522,0.7511,3.6394615
3.8408422,0.7511,3.6394615
3.8407173,0.7511,4.2394314
3.8405921,0.7511,4.8394012
3.8403628,0.7511,5.9393463
3.8403628,0.7511,5.9393463
3.6823015,0.7511,5.81682
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.7623098,0.7511,5.876801
3.9622998,0.7511,5.876801
3.6886873,0.7511,5.753808
3.7356734,0.7511,6.3519354
3.8218145,0.7511,7.4485025
3.8218145,0.7511,7.4485025
4.253208,0.75110006,7.865472
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.397006,0.7511,8.004461
4.5969963,0.7511,8.004461
4.5969963,0.7511,8.004461
4.045546,0.7511,7.7681003
4.014194,0.7511,7.16895
3.9828424,0.7511,6.5698
3.9514906,0.7511,5.9706492
3.9149134,0.75110006,5.271641
3.8835616,0.75110006,4.6724906
3.8522098,0.7511,4.07334
3.920409,0.75110006,3.5780382
3.9613283,0.7511,3.280857
3.9613283,0.7511,3.280857
3.9613283,0.7511,3.280857
3.9613283,0.7511,3.080867
3.8824213,0.75110006,3.5745761
3.8762221,0.75110006,4.1745143
3.870023,0.75110006,4.774452
3.863824,0.75110006,5.37439
3.8576245,0.75110006,5.974328
3.8524587,0.75110006,6.4742765
3.8524587,0.7511,6.4742765
3.8524587,0.7511,6.4742765
3.8524587,0.7511,6.4742765
3.8524587,0.7511,6.4742765
3.8524587,0.7511,6.4742765
3.8524587,0.7511,6.4742765
3.8524587,0.7511,6.4742765
3.8524587,0.7511,6.4742765
3.8524587,0.7511,6.4742765
3.8524587,0.7511,6.4742765
3.6028943,0.7511,5.928674
3.0785317,0.7511,5.637113
2.831177,0.7511,5.4684844
2.5952225,0.75110006,5.2280364
2.0069516,0.75110006,5.210928
1.7104827,0.7511,5.210928
1.3898335,0.7511,5.235026
1.1756061,0.7511,5.6954093
1.0680232,0.7511,6.285655
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.8759007
0.9604403,0.7511,6.6759105
1.0800412,0.7511001,6.1904516
1.1996421,0.75110006,5.7049923
1.2108856,0.7511,5.4607797
1.4437732,0.7511,5.214116
2.038875,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.3348897,0.7511,5.2109275
2.5348797,0.7511,5.2109275
2.8796172,0.7511001,4.8488073
3.3622499,0.7511001,4.3418393
3.63804,0.75110006,4.052143
3.8494203,0.7511001,3.490643
4.0608006,0.75110006,2.929143
4.1664906,0.7511,2.648393
4.1664906,0.7511,2.648393
4.1664906,0.7511,2.648393
4.1664906,0.7511,2.648393
4.1664906,0.7511,2.448403
4.1664906,0.7511,2.448403
4.1999316,0.7511,2.374715
4.538367,0.75110006,2.161097
4.6366644,0.7511,2.1427505
5.1842437,0.75110006,1.8975545
5.7318225,0.7511001,1.6523584
6.370665,0.75110006,1.3662964
6.9182444,0.7511001,1.1211003
7.3745604,0.75110006,0.91677034
7.465823,0.7511,0.87590426
7.465823,0.7511,0.87590426
6.9175158,0.75110006,1.119467
6.2778234,0.7511001,1.4036236
5.8209004,0.75110006,1.6065925
5.1812086,0.7511001,1.8907491
4.7242856,0.75110006,2.093718
4.4769697,0.7511,2.1799448
4.2761345,0.7511,2.2644577
4.1799936,0.7511,2.7846105
4.1799936,0.75110006,3.4797196
4.15191,0.75110006,4.079032
4.1331873,0.7511,4.4785733
4.0746074,0.7511,5.075677
4.016027,0.7511,5.67278
3.9628553,0.7511,6.2703843
3.9020803,0.75110006,6.967706
3.8673515,0.7511,7.3661757
4.2640896,0.7511,7.8162456
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.4624586,0.7511,8.029925
4.6624484,0.7511,8.029925
5.1427503,0.75110006,8.143704
5.6420417,0.75110006,8.169846
6.144946,0.75110006,8.090181
