posx,posy,posz
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.5893736,0.75110006,3.8877382
4.289291,0.7511,3.87957
4.88922,0.7511,3.8725688
5.98909,0.7511,3.859733
5.98909,0.7511,3.859733
5.9838448,0.75110006,3.2597861
6.55152,0.75110006,3.453974
7.2138076,0.75110006,3.6805267
7.403033,0.7511,3.7452562
7.403033,0.7511,3.7452562
7.403033,0.7511,3.7452562
7.403033,0.7511,3.7452562
7.403033,0.7511,3.7452562
7.403033,0.7511,3.7452562
7.403033,0.7511,3.7452562
7.403033,0.7511,3.7452562
7.2030425,0.7511,3.7452562
7.2030425,0.7511,3.7452562
7.2030425,0.7511,3.7452562
7.2030425,0.7511,3.7452562
7.2030425,0.7511,3.7452562
7.2030425,0.7511,3.7452562
7.2030425,0.7511,3.7452562
7.2030425,0.7511,3.7452562
7.0030527,0.7511,3.7452562
7.399172,0.7511,3.800696
7.6382456,0.75110006,3.2504163
7.7577825,0.7511,2.9752762
7.8893857,0.75110006,2.3899179
7.977121,0.7511,1.9996789
8.074765,0.75110006,1.5093313
8.17241,0.75110006,1.018984
8.17241,0.7511,1.018984
8.17241,0.7511,1.018984
7.9724197,0.7511,1.018984
8.010801,0.7511,1.4171182
7.942848,0.7511,2.0132275
7.8862205,0.7511,2.5099854
7.7942924,0.7511,3.102871
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.717686,0.7511,3.5969422
7.9176764,0.7511,3.5969422
8.297433,0.75110006,3.7555332
8.853713,0.75110006,3.821499
9.553656,0.75110006,3.825238
10.153608,0.75110006,3.8297422
10.853554,0.75110006,3.8349967
11.253523,0.7511,3.8379993
11.253523,0.7511,3.8379993
11.253523,0.7511,3.8379993
11.253523,0.7511,3.8379993
11.253523,0.7511,3.8379993
11.253523,0.7511,3.8379993
11.253523,0.7511,3.8379993
11.253523,0.7511,3.8379993
11.453513,0.7511,3.8379993
11.453513,0.7511,3.8379993
10.85499,0.7511,3.7963517
10.366317,0.75110006,3.821527
9.6665745,0.75110006,3.820002
9.067111,0.75110006,3.8200023
8.668508,0.7511,3.8200023
8.414317,0.7511,3.818362
8.180298,0.75110006,3.5762093
8.179998,0.75110006,2.976695
8.179998,0.75110006,2.3768587
8.179998,0.75110006,1.6772542
8.179998,0.75110006,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
8.179998,0.7511,1.0787182
7.9800086,0.7511,1.0787182
8.017263,0.7511,1.4769593
7.943133,0.7511,2.0723321
7.893712,0.7511,2.469247
7.801288,0.7511,3.0620556
7.724268,0.75110006,3.5560627
7.724268,0.7511,3.5560627
7.724268,0.7511,3.5560627
7.724268,0.7511,3.5560627
7.724268,0.7511,3.5560627
7.724268,0.7511,3.5560627
7.724268,0.7511,3.5560627
7.724268,0.7511,3.5560627
7.724268,0.7511,3.5560627
7.724268,0.7511,3.5560627
7.724268,0.7511,3.5560627
7.524278,0.7511,3.5560627
7.1245565,0.75110006,4.0034847
6.6582146,0.7511001,4.525477
6.2584925,0.75110006,4.9728994
5.858771,0.7511001,5.4203215
5.392429,0.7511001,5.9423137
4.992707,0.75110006,6.3897357
4.726226,0.75110006,6.6880174
