posx,posy,posz,tick,turn
3.0,0.7511,4.0,1,1
3.0,0.7511,4.0,1,2
3.0,0.7511,4.0,1,3
3.0,0.7511,4.0,1,4
3.0,0.7511,4.0,1,5
3.0,0.7511,4.0,1,6
3.0,0.7511,4.0,1,7
3.5893736,0.7511,3.8877382,1,8
4.589256,0.75110006,3.8760695,1,9
5.2891726,0.7511,3.8679013,1,10
5.2891726,0.7511,3.8679013,1,11
5.8395505,0.75110006,3.033045,1,12
6.594678,0.7511001,2.3775437,1,13
7.047755,0.7511,1.9842428,1,14
7.5125756,0.75110006,1.0988945,1,15
7.5590577,0.7511,1.0103596,1,16
7.5590577,0.7511,1.0103596,1,17
7.5590577,0.7511,1.0103596,1,18
7.5590577,0.7511,1.0103596,1,19
7.5590577,0.7511,1.0103596,1,20
7.5590577,0.7511,1.0103596,1,21
7.5590577,0.7511,1.0103596,1,22
7.5590577,0.7511,1.0103596,1,23
7.6475925,0.7511,1.0568416,1,24
7.6475925,0.7511,1.0568416,1,25
7.659235,0.75110006,2.0567238,1,26
7.670878,0.75110006,3.056606,1,27
7.676699,0.7511,3.5565472,1,28
7.9757295,0.7511,3.5804634,1,29
7.9757295,0.7511,3.5804634,1,30
7.9757295,0.7511,3.5804634,1,31
7.9757295,0.7511,3.5804634,1,32
7.9757295,0.7511,3.5804634,1,33
7.9757295,0.7511,3.5804634,1,34
7.9757295,0.7511,3.5804634,1,35
7.9757295,0.7511,3.5804634,1,36
7.967757,0.7511,3.68014,1,37
7.8803453,0.7511,3.7287006,1,38
7.865945,0.7511,3.028884,1,39
7.9977574,0.75110006,2.0376596,1,40
8.171763,0.75110006,1.0529658,1,41
8.171763,0.7511,1.0529658,1,42
8.171763,0.7511,1.0529658,1,43
8.171763,0.7511,1.0529658,1,44
7.9717736,0.7511,1.0529658,1,45
8.039048,0.7511,0.9789856,1,46
8.03969,0.7511,1.4789602,1,47
7.8986287,0.75110006,2.4689105,1,48
7.7411695,0.75110006,3.4563854,1,49
7.725424,0.7511,3.5551329,1,50
7.725424,0.7511,3.5551329,1,51
7.725424,0.7511,3.5551329,1,52
7.725424,0.7511,3.5551329,1,53
7.725424,0.7511,3.5551329,1,54
7.725424,0.7511,3.5551329,1,55
7.725424,0.7511,3.5551329,1,56
7.725424,0.7511,3.5551329,1,57
7.725424,0.7511,3.5551329,1,58
7.725424,0.7511,3.5551329,1,59
7.725424,0.7511,3.5551329,1,60
7.725424,0.7511,3.5551329,1,61
7.725424,0.7511,3.5551329,1,62
7.725424,0.7511,3.5551329,1,63
7.6526356,0.7511,3.48657,1,64
6.979955,0.75110006,4.2264357,1,65
6.307275,0.7511001,4.9663014,1,66
5.6345944,0.75110006,5.7061667,1,67
4.961914,0.7511001,6.4460325,1,68
4.2892337,0.75110006,7.1858983,1,69
4.020161,0.7511,7.4818444,1,70
4.020161,0.7511,7.4818444,1,71
4.020161,0.7511,7.4818444,1,72
4.020161,0.7511,7.4818444,1,73
4.020161,0.7511,7.4818444,1,74
4.020161,0.7511,7.4818444,1,75
4.020161,0.7511,7.4818444,1,76
4.020161,0.7511,7.4818444,1,77
4.020161,0.7511,7.4818444,1,78
3.94497,0.7511,7.415926,1,79
3.2998967,0.75110006,8.179981,1,80
2.6548233,0.7511001,8.9440365,1,81
2.00975,0.75110006,9.708092,1,82
1.3646767,0.7511001,10.472147,1,83
0.71960324,0.75110006,11.236202,1,84
0.65509593,0.7511,11.312608,1,85
0.65509593,0.7511,11.312608,1,86
0.65509593,0.7511,11.312608,1,87
0.65509593,0.7511,11.312608,1,88
0.65509593,0.7511,11.312608,1,89
0.65509593,0.7511,11.312608,1,90
0.65509593,0.7511,11.312608,1,91
0.65509593,0.7511,11.312608,1,92
0.65509593,0.7511,11.312608,1,93
0.7549975,0.7511,11.31693,1,94
0.6871407,0.7511,12.314574,1,95
0.61928385,0.7511,13.31222,1,96
0.55142707,0.7511,14.309864,1,97
0.5033878,0.7511,15.10798,1,98
0.5033878,0.7511,15.10798,1,99
0.5033878,0.7511,15.10798,1,100
0.5033878,0.7511,15.10798,1,101
0.5033878,0.7511,15.10798,1,102
0.5033878,0.7511,15.10798,1,103
0.5033878,0.7511,15.10798,1,104
0.5033878,0.7511,15.10798,1,105
0.5033878,0.7511,15.10798,1,106
0.5033878,0.7511,15.10798,1,107
0.6033812,0.7511,15.108552,1,108
0.5732405,0.7511,16.108047,1,109
0.5430998,0.7511,17.107542,1,110
0.5129592,0.7511,18.107038,1,111
0.50338703,0.7511,18.90535,1,112
0.50338703,0.7511,18.90535,1,113
0.50338703,0.7511,18.90535,1,114
0.50338703,0.7511,18.90535,1,115
0.50338703,0.7511,18.90535,1,116
0.50338703,0.7511,18.90535,1,117
0.50338703,0.7511,18.90535,1,118
0.50338703,0.7511,18.90535,1,119
0.50338703,0.7511,18.90535,1,120
0.50338703,0.7511,18.90535,1,121
0.50338703,0.7511,18.90535,1,122
0.50338703,0.7511,18.90535,1,123
0.5735459,0.7511,18.834097,1,124
1.2675574,0.7511,19.553991,1,125
1.9615684,0.7511,20.273888,1,126
2.6555796,0.7511,20.993782,1,127
3.0719864,0.7511,21.425718,1,128
3.0719864,0.7511,21.425718,1,129
3.0719864,0.7511,21.425718,1,130
3.0719864,0.7511,21.425718,1,131
3.0719864,0.7511,21.425718,1,132
3.0719864,0.7511,21.425718,1,133
3.0719864,0.7511,21.425718,1,134
3.0719864,0.7511,21.425718,1,135
3.0719864,0.7511,21.425718,1,136
3.0719864,0.7511,21.425718,1,137
3.0006514,0.7511,21.495792,1,138
3.1662025,0.7511,21.607992,1,139
3.5610604,0.7511,21.820013,1,140
4.35919,0.75110006,21.820004,1,141
4.932058,0.7511,21.694855,1,142
4.932058,0.7511,21.694855,1,143
4.932058,0.7511,21.694855,1,144
4.932058,0.7511,21.694855,1,145
4.932058,0.7511,21.694855,1,146
4.932058,0.7511,21.694855,1,147
4.932058,0.7511,21.694855,1,148
4.932058,0.7511,21.694855,1,149
4.932058,0.7511,21.694855,1,150
4.932058,0.7511,21.694855,1,151
4.932058,0.7511,21.694855,1,152
4.835589,0.7511,21.721176,1,153
5.1339583,0.7511,21.752272,1,154
6.091703,0.75110006,21.820005,1,155
6.290909,0.7511,21.820005,1,156
6.632359,0.7511,21.801445,1,157
7.091679,0.7511,21.60396,1,158
7.585271,0.7511,21.524323,1,159
7.982438,0.7511,21.571676,1,160
7.982438,0.7511,21.571676,1,161
7.982438,0.7511,21.571676,1,162
7.982438,0.7511,21.571676,1,163
7.982438,0.7511,21.571676,1,164
7.982438,0.7511,21.571676,1,165
7.982438,0.7511,21.571676,1,166
7.982438,0.7511,21.571676,1,167
7.982438,0.7511,21.571676,1,168
7.982438,0.7511,21.571676,1,169
7.9706006,0.7511,21.670967,1,170
7.9706006,0.7511,21.670967,1,171
7.590021,0.7511,21.547909,1,172
7.091077,0.7511,21.579994,1,173
6.8132505,0.7511,21.693146,1,174
5.91913,0.7511,21.820004,1,175
5.620665,0.7511,21.820004,1,176
4.921501,0.7511,21.79506,1,177
4.1404076,0.7511,21.820007,1,178
3.6423006,0.7511,21.820005,1,179
3.3945136,0.7511,21.811846,1,180
3.1799939,0.75110006,21.110199,1,181
3.179997,0.75110006,20.111202,1,182
3.179997,0.7511,19.416046,1,183
3.1799982,0.75110006,18.416473,1,184
3.1799982,0.75110006,17.417385,1,185
3.1799982,0.7511,16.72106,1,186
3.5213027,0.75110006,15.858395,1,187
3.6829116,0.7511,15.605662,1,188
3.72133,0.75110006,14.606451,1,189
3.7597482,0.75110006,13.607239,1,190
3.7981668,0.75110006,12.608027,1,191
3.8289013,0.75110006,11.808658,1,192
4.241691,0.7511001,10.897886,1,193
4.6544805,0.75110006,9.987115,1,194
4.943433,0.7511,9.349574,1,195
5.025991,0.7511,9.16742,1,196
5.470669,0.75110006,8.271785,1,197
5.959814,0.7511001,7.2865868,1,198
6.271088,0.7511,6.659642,1,199
6.7180486,0.75110006,5.7651443,1,200
7.165009,0.7511001,4.8706465,1,201
7.567273,0.7511,4.0655985,1,202
7.7828937,0.75110006,3.0891724,1,203
7.967441,0.7511,2.1063995,1,204
8.15448,0.7511,1.124098,1,205
8.15448,0.7511,1.124098,1,206
8.15448,0.7511,1.124098,1,207
8.15448,0.7511,1.124098,1,208
7.9544897,0.7511,1.124098,1,209
7.9544897,0.7511,1.124098,1,210
8.076662,0.7511,0.9657633,1,211
8.052388,0.7511,1.4651487,1,212
7.903175,0.75110006,2.4539032,1,213
7.7442203,0.75110006,3.4411385,1,214
7.72075,0.75110006,4.5397835,1,215
7.7077746,0.75110006,5.539649,1,216
7.6986923,0.7511,6.239555,1,217
6.7062874,0.7511,6.3621597,1,218
6.1851697,0.75110006,7.2155867,1,219
5.6640525,0.7511001,8.069013,1,220
5.2471585,0.75110006,8.751754,1,221
4.794043,0.7511001,9.643149,1,222
4.340927,0.75110006,10.534545,1,223
3.9784348,0.7511,11.247662,1,224
3.9447923,0.75110006,12.2470455,1,225
3.9111497,0.75110006,13.24643,1,226
3.877507,0.75110006,14.245814,1,227
3.850593,0.75110006,15.045321,1,228
3.4495618,0.7511001,15.961331,1,229
3.3261926,0.7511,16.23112,1,230
3.1799946,0.7511,17.078321,1,231
3.179997,0.7511,18.07753,1,232
3.179997,0.7511,18.972607,1,233
3.1799977,0.7511,19.972075,1,234
3.1799977,0.75110006,21.069962,1,235
3.1799977,0.7511,21.366756,1,236
3.1905603,0.7511,21.612106,1,237
3.5809286,0.7511,21.820013,1,238
4.3789015,0.7511,21.820004,1,239
5.1779804,0.7511,21.790813,1,240
6.1588573,0.7511,21.820004,1,241
6.35776,0.7511,21.820004,1,242
6.35776,0.7511,21.820004,1,243
6.35776,0.7511,21.820004,1,244
6.35776,0.7511,21.820004,1,245
6.35776,0.7511,21.820004,1,246
6.35776,0.7511,21.820004,1,247
6.35776,0.7511,21.820004,1,248
6.35776,0.7511,21.820004,1,249
6.35776,0.7511,21.820004,1,250
6.35776,0.7511,21.820004,1,251
6.35776,0.7511,21.820004,1,252
6.35776,0.7511,21.820004,1,253
6.2899513,0.7511,21.893496,1,254
7.0613637,0.75110006,22.52975,1,255
7.44707,0.7511,22.84788,1,256
6.7803717,0.75110006,23.59314,1,257
6.3136826,0.7511,24.114822,1,258
6.3136826,0.7511,24.114822,1,259
5.4267344,0.7511,24.267277,1,260
5.4267344,0.7511,24.267277,1,261
5.4267344,0.7511,24.267277,1,262
5.4267344,0.7511,24.267277,1,263
5.4267344,0.7511,24.267277,1,264
5.4267344,0.7511,24.267277,1,265
5.4267344,0.7511,24.267277,1,266
5.4267344,0.7511,24.267277,1,267
5.4267344,0.7511,24.267277,1,268
5.4267344,0.7511,24.267277,1,269
5.4267344,0.7511,24.267277,1,270
5.4267344,0.7511,24.267277,1,271
5.4267344,0.7511,24.267277,1,272
5.4267344,0.7511,24.267277,1,273
5.3655562,0.7511,24.346373,1,274
4.606031,0.7511,23.69597,1,275
4.0743637,0.7511,23.24069,1,276
3.3716986,0.75110006,23.95214,1,277
2.6690338,0.7511001,24.663591,1,278
1.8961027,0.75110006,25.446188,1,279
1.4745036,0.7511,25.873058,1,280
1.4745036,0.7511,25.873058,1,281
1.4745036,0.7511,25.873058,1,282
1.4745036,0.7511,25.873058,1,283
1.4745036,0.7511,25.873058,1,284
1.4745036,0.7511,25.873058,1,285
1.4745036,0.7511,25.873058,1,286
1.4745036,0.7511,25.873058,1,287
1.4745036,0.7511,25.873058,1,288
1.4745036,0.7511,25.873058,1,289
1.4745036,0.7511,25.873058,1,290
1.4745036,0.7511,25.873058,1,291
2.4512553,0.75110006,25.658916,1,292
3.2772977,0.75110006,26.385231,1,293
3.6527715,0.7511,26.715376,1,294
3.0318055,0.75110006,27.49915,1,295
2.4108396,0.7511001,28.282923,1,296
1.7898736,0.75110006,29.066696,1,297
1.1689075,0.7511001,29.85047,1,298
0.7342314,0.7511,30.39911,1,299
0.7342314,0.7511,30.39911,1,300
0.7342314,0.7511,30.39911,1,301
0.7342314,0.7511,30.39911,1,302
0.7342314,0.7511,30.39911,1,303
0.7342314,0.7511,30.39911,1,304
0.7342314,0.7511,30.39911,1,305
0.7342314,0.7511,30.39911,1,306
0.7342314,0.7511,30.39911,1,307
0.7342314,0.7511,30.39911,1,308
0.7342314,0.7511,30.39911,1,309
0.7342314,0.7511,30.39911,1,310
0.672135,0.7511,30.47749,1,311
0.62512636,0.75110006,31.476334,1,312
0.5781178,0.75110006,32.475178,1,313
0.53110915,0.75110006,33.474022,1,314
0.5038705,0.75110006,34.27301,1,315
0.5038705,0.7511,34.27301,1,316
0.5038705,0.7511,34.27301,1,317
0.5038705,0.7511,34.27301,1,318
0.5038705,0.7511,34.27301,1,319
0.5038705,0.7511,34.27301,1,320
0.5038705,0.7511,34.27301,1,321
0.5038705,0.7511,34.27301,1,322
0.5038705,0.7511,34.27301,1,323
0.5038705,0.7511,34.27301,1,324
0.5038705,0.7511,34.27301,1,325
0.5038705,0.7511,34.27301,1,326
0.5038705,0.7511,34.27301,1,327
