posx,posy,posz,tick,turn
3.0,0.7511,4.0,1,1
3.0,0.7511,4.0,1,2
3.0,0.7511,4.0,1,3
3.0,0.7511,4.0,1,4
3.0,0.7511,4.0,1,5
3.0,0.7511,4.0,1,6
3.0,0.7511,4.0,1,7
3.5893736,0.7511,3.8877382,1,8
4.589256,0.75110006,3.8760695,1,9
5.2891726,0.7511,3.8679013,1,10
5.2891726,0.7511,3.8679013,1,11
5.8395505,0.75110006,3.033045,1,12
6.594678,0.7511001,2.3775437,1,13
7.047755,0.7511,1.9842428,1,14
7.5125756,0.75110006,1.0988945,1,15
7.5590577,0.7511,1.0103596,1,16
7.5590577,0.7511,1.0103596,1,17
7.5590577,0.7511,1.0103596,1,18
7.5590577,0.7511,1.0103596,1,19
7.5590577,0.7511,1.0103596,1,20
7.5590577,0.7511,1.0103596,1,21
7.5590577,0.7511,1.0103596,1,22
7.5590577,0.7511,1.0103596,1,23
7.470523,0.7511,0.96387756,1,24
7.470523,0.7511,0.96387756,1,25
7.54316,0.75110006,1.9611858,1,26
7.615797,0.75110006,2.9584942,1,27
7.6593795,0.7511,3.556879,1,28
7.958481,0.7511,3.5798848,1,29
7.958481,0.7511,3.5798848,1,30
7.958481,0.7511,3.5798848,1,31
7.958481,0.7511,3.5798848,1,32
7.958481,0.7511,3.5798848,1,33
7.958481,0.7511,3.5798848,1,34
7.958481,0.7511,3.5798848,1,35
7.958481,0.7511,3.5798848,1,36
7.9508123,0.7511,3.6795855,1,37
7.9508123,0.7511,3.6795855,1,38
7.8834734,0.7511,2.982867,1,39
8.006472,0.75110006,1.9905105,1,40
8.179982,0.75110006,1.0057633,1,41
8.179982,0.7511,1.0057633,1,42
8.179982,0.7511,1.0057633,1,43
7.9799924,0.7511,1.0057633,1,44
8.052828,0.7511,0.9372505,1,45
8.044635,0.7511,1.4371583,1,46
7.904327,0.75110006,2.4272158,1,47
7.7475157,0.75110006,3.4147937,1,48
7.7161536,0.7511,3.6123092,1,49
7.7161536,0.7511,3.6123092,1,50
7.7161536,0.7511,3.6123092,1,51
7.7161536,0.7511,3.6123092,1,52
7.7161536,0.7511,3.6123092,1,53
7.7161536,0.7511,3.6123092,1,54
7.7161536,0.7511,3.6123092,1,55
7.7161536,0.7511,3.6123092,1,56
7.7161536,0.7511,3.6123092,1,57
7.7161536,0.7511,3.6123092,1,58
7.7161536,0.7511,3.6123092,1,59
7.7161536,0.7511,3.6123092,1,60
7.7161536,0.7511,3.6123092,1,61
7.7161536,0.7511,3.6123092,1,62
7.7221284,0.7511,3.512493,1,63
8.286765,0.75110006,3.7458086,1,64
9.237255,0.75110006,3.820001,1,65
10.237166,0.75110006,3.828761,1,66
11.237078,0.7511,3.8375213,1,67
11.237078,0.7511,3.8375213,1,68
11.237078,0.7511,3.8375213,1,69
11.237078,0.7511,3.8375213,1,70
11.237078,0.7511,3.8375213,1,71
11.237078,0.7511,3.8375213,1,72
11.237078,0.7511,3.8375213,1,73
11.237078,0.7511,3.8375213,1,74
11.237078,0.7511,3.8375213,1,75
11.237078,0.7511,3.8375213,1,76
11.237954,0.7511,3.73753,1,77
11.237954,0.7511,3.73753,1,78
10.838915,0.7511,3.7649546,1,79
9.871875,0.7511,3.8200028,1,80
8.872925,0.7511,3.8200028,1,81
8.428994,0.7511,3.8200028,1,82
8.179994,0.7511,3.234765,1,83
8.179998,0.7511,2.2350612,1,84
8.179998,0.7511,1.2361548,1,85
8.179998,0.7511,1.2361548,1,86
8.179998,0.7511,1.2361548,1,87
8.179998,0.7511,1.2361548,1,88
8.179998,0.7511,1.2361548,1,89
8.179998,0.7511,1.2361548,1,90
8.179998,0.7511,1.2361548,1,91
8.179998,0.7511,1.2361548,1,92
8.179998,0.7511,1.2361548,1,93
8.179998,0.7511,1.2361548,1,94
8.179998,0.7511,1.0371704,1,95
8.099663,0.7511,1.4289998,1,96
7.9198427,0.7511,2.4126484,1,97
7.754141,0.7511,3.3987737,1,98
7.0794168,0.75110006,4.1367764,1,99
6.404693,0.7511001,4.8747787,1,100
5.729969,0.75110006,5.6127815,1,101
5.055245,0.7511001,6.350784,1,102
4.582938,0.7511,6.867386,1,103
4.582938,0.7511,6.867386,1,104
4.582938,0.7511,6.867386,1,105
4.582938,0.7511,6.867386,1,106
4.582938,0.7511,6.867386,1,107
4.582938,0.7511,6.867386,1,108
4.582938,0.7511,6.867386,1,109
4.582938,0.7511,6.867386,1,110
4.043159,0.75110006,7.4577875,1,111
3.3837733,0.7511001,8.209526,1,112
2.724388,0.75110006,8.961265,1,113
2.0650024,0.7511001,9.713003,1,114
1.405617,0.75110006,10.464742,1,115
0.74623144,0.7511001,11.21648,1,116
0.68029284,0.7511,11.291654,1,117
0.68029284,0.7511,11.291654,1,118
0.68029284,0.7511,11.291654,1,119
0.68029284,0.7511,11.291654,1,120
0.68029284,0.7511,11.291654,1,121
0.68029284,0.7511,11.291654,1,122
0.68029284,0.7511,11.291654,1,123
0.68029284,0.7511,11.291654,1,124
0.68029284,0.7511,11.291654,1,125
0.78016686,0.7511,11.296571,1,126
0.70650095,0.7511,12.293804,1,127
0.632835,0.7511,13.291037,1,128
0.55916905,0.7511,14.288269,1,129
0.50387305,0.7511,15.086056,1,130
0.50387305,0.7511,15.086056,1,131
0.50387305,0.7511,15.086056,1,132
0.50387305,0.7511,15.086056,1,133
0.50387305,0.7511,15.086056,1,134
0.50387305,0.7511,15.086056,1,135
0.50387305,0.7511,15.086056,1,136
0.50387305,0.7511,15.086056,1,137
0.50387305,0.7511,15.086056,1,138
0.50387305,0.7511,15.086056,1,139
0.50387305,0.7511,15.086056,1,140
0.50387305,0.7511,15.086056,1,141
0.60386634,0.7511,15.086636,1,142
0.5737683,0.75110006,16.086132,1,143
0.5436703,0.75110006,17.08563,1,144
0.5135723,0.75110006,18.085127,1,145
0.50338626,0.7511,18.983644,1,146
0.50338626,0.7511,18.983644,1,147
0.50338626,0.7511,18.983644,1,148
0.50338626,0.7511,18.983644,1,149
0.50338626,0.7511,18.983644,1,150
0.50338626,0.7511,18.983644,1,151
0.50338626,0.7511,18.983644,1,152
0.50338626,0.7511,18.983644,1,153
0.50338626,0.7511,18.983644,1,154
0.50338626,0.7511,18.983644,1,155
0.57248753,0.7511,18.911367,1,156
1.2767655,0.7511,19.62122,1,157
1.9810435,0.7511,20.331074,1,158
2.6853216,0.7511,21.040928,1,159
3.0374603,0.7511,21.395855,1,160
3.0374603,0.7511,21.395855,1,161
3.0374603,0.7511,21.395855,1,162
3.0374603,0.7511,21.395855,1,163
3.0374603,0.7511,21.395855,1,164
3.0374603,0.7511,21.395855,1,165
3.0374603,0.7511,21.395855,1,166
3.0374603,0.7511,21.395855,1,167
3.0374603,0.7511,21.395855,1,168
3.0374603,0.7511,21.395855,1,169
3.0374603,0.7511,21.395855,1,170
3.0374603,0.7511,21.395855,1,171
2.9666057,0.7511,21.466415,1,172
3.2112195,0.7511,21.638035,1,173
3.5373557,0.7511,21.82401,1,174
4.335633,0.75110006,21.820004,1,175
5.0037575,0.7511,21.675774,1,176
5.0037575,0.7511,21.675774,1,177
5.0037575,0.7511,21.675774,1,178
5.0037575,0.7511,21.675774,1,179
5.0037575,0.7511,21.675774,1,180
5.0037575,0.7511,21.675774,1,181
5.0037575,0.7511,21.675774,1,182
5.0037575,0.7511,21.675774,1,183
5.0037575,0.7511,21.675774,1,184
5.0037575,0.7511,21.675774,1,185
4.907258,0.7511,21.701982,1,186
5.1047873,0.7511,21.733257,1,187
6.046971,0.7511,21.820004,1,188
6.3456745,0.7511,21.820004,1,189
6.5993104,0.7511,21.814484,1,190
7.150794,0.7511,21.578201,1,191
7.646044,0.7511,21.509624,1,192
7.942378,0.7511,21.556284,1,193
7.942378,0.7511,21.556284,1,194
7.942378,0.7511,21.556284,1,195
7.942378,0.7511,21.556284,1,196
7.942378,0.7511,21.556284,1,197
7.942378,0.7511,21.556284,1,198
7.942378,0.7511,21.556284,1,199
7.942378,0.7511,21.556284,1,200
7.9579315,0.7511,21.457506,1,201
7.9579315,0.7511,21.457506,1,202
7.6581736,0.7511,21.469172,1,203
7.0647526,0.7511,21.557577,1,204
6.884357,0.7511,21.643911,1,205
6.056871,0.7511,21.820004,1,206
5.658333,0.7511,21.820004,1,207
4.8592196,0.75110006,21.791412,1,208
4.0774174,0.7511,21.820005,1,209
3.6788757,0.7511,21.820005,1,210
3.427941,0.75109994,21.820005,1,211
3.1799934,0.7511,21.226992,1,212
3.179997,0.7511,20.227854,1,213
3.179997,0.7511,19.432522,1,214
3.179998,0.7511,18.432945,1,215
3.179998,0.7511,17.433838,1,216
3.179998,0.7511,16.737291,1,217
3.5125864,0.75110006,15.8743515,1,218
3.6736753,0.7511,15.621288,1,219
3.7141943,0.75110006,14.622159,1,220
3.754713,0.75110006,13.623031,1,221
3.795232,0.75110006,12.623901,1,222
3.8276472,0.75110006,11.824598,1,223
4.2388597,0.7511001,10.913114,1,224
4.6500726,0.75110006,10.00163,1,225
4.9379215,0.7511,9.36359,1,226
5.020164,0.7511,9.1812935,1,227
5.4645677,0.75110006,8.285522,1,228
5.908971,0.7511001,7.3897514,1,229
6.264494,0.75110006,6.673135,1,230
6.7114167,0.7511001,5.7786183,1,231
7.15834,0.75110006,4.884102,1,232
7.5605707,0.75110006,4.0790367,1,233
7.778786,0.7511001,3.1031873,1,234
7.964346,0.75110006,2.1206052,1,235
8.151661,0.75110006,1.1383562,1,236
8.151661,0.7511,1.1383562,1,237
8.151661,0.7511,1.1383562,1,238
8.151661,0.7511,1.1383562,1,239
7.9516706,0.7511,1.1383562,1,240
7.9516706,0.7511,1.1383562,1,241
8.071539,0.7511,0.97827023,1,242
8.050299,0.7511,1.4777938,1,243
7.9012246,0.75110006,2.4665692,1,244
7.7422075,0.75110006,3.4537945,1,245
7.7274904,0.75110006,4.453636,1,246
7.7127733,0.75110006,5.453478,1,247
7.7024713,0.7511,6.153367,1,248
6.7199802,0.7511,6.339409,1,249
6.19891,0.75110006,7.1928644,1,250
5.6778398,0.7511001,8.046319,1,251
5.260984,0.75110006,8.729084,1,252
4.8072844,0.75110006,9.620182,1,253
4.353585,0.7511001,10.511281,1,254
3.9452555,0.75110006,11.31327,1,255
3.9192555,0.75110006,12.312881,1,256
3.8932555,0.75110006,13.312493,1,257
3.8672557,0.75110006,14.312105,1,258
3.8464558,0.7511,15.111795,1,259
3.4311264,0.75110006,16.021412,1,260
3.179991,0.75110006,16.627584,1,261
3.1799977,0.75110006,17.62703,1,262
3.1799977,0.75110006,18.625216,1,263
3.1799977,0.7511,18.922625,1,264
3.1799977,0.75110006,19.922108,1,265
3.1799977,0.75110006,20.920637,1,266
3.1799977,0.7511,21.317709,1,267
3.2060366,0.7511,21.645702,1,268
3.5465448,0.7511,21.822027,1,269
4.344769,0.7511,21.820004,1,270
5.1439147,0.7511,21.791975,1,271
6.128066,0.7511,21.820004,1,272
6.3271265,0.7511,21.820004,1,273
6.3271265,0.7511,21.820004,1,274
6.3271265,0.7511,21.820004,1,275
6.3271265,0.7511,21.820004,1,276
6.3271265,0.7511,21.820004,1,277
6.3271265,0.7511,21.820004,1,278
6.3271265,0.7511,21.820004,1,279
6.3271265,0.7511,21.820004,1,280
6.3708205,0.7511,21.909946,1,281
6.3708205,0.7511,21.909946,1,282
6.3708205,0.7511,21.909946,1,283
6.3708205,0.7511,21.909946,1,284
6.3708205,0.7511,21.909946,1,285
6.3708205,0.7511,21.909946,1,286
6.3708205,0.7511,21.909946,1,287
6.3708205,0.7511,21.909946,1,288
6.3708205,0.7511,21.909946,1,289
6.3708205,0.7511,21.909946,1,290
6.3708205,0.7511,21.909946,1,291
6.3708205,0.7511,21.909946,1,292
6.305482,0.7511,21.985643,1,293
7.0988927,0.7511,22.594248,1,294
7.495598,0.7511,22.89855,1,295
6.8193107,0.75110006,23.635118,1,296
6.3459096,0.7511,24.150719,1,297
6.3459096,0.7511,24.150719,1,298
6.383204,0.75110006,25.149973,1,299
6.3906627,0.7511,25.349823,1,300
6.3906627,0.7511,25.349823,1,301
6.3906627,0.7511,25.349823,1,302
6.3906627,0.7511,25.349823,1,303
6.3906627,0.7511,25.349823,1,304
6.3906627,0.7511,25.349823,1,305
6.3906627,0.7511,25.349823,1,306
6.3906627,0.7511,25.349823,1,307
6.3906627,0.7511,25.349823,1,308
6.3906627,0.7511,25.349823,1,309
6.3906627,0.7511,25.349823,1,310
6.3906627,0.7511,25.349823,1,311
6.3906627,0.7511,25.349823,1,312
6.3906627,0.7511,25.349823,1,313
6.4671307,0.7511,25.28539,1,314
7.0724897,0.7511,26.08128,1,315
7.496241,0.7511,26.638403,1,316
6.829045,0.75110006,27.383219,1,317
6.161849,0.7511001,28.128035,1,318
5.494653,0.75110006,28.872849,1,319
5.027616,0.7511,29.39422,1,320
5.027616,0.7511,29.39422,1,321
5.027616,0.7511,29.39422,1,322
5.027616,0.7511,29.39422,1,323
5.027616,0.7511,29.39422,1,324
5.027616,0.7511,29.39422,1,325
5.027616,0.7511,29.39422,1,326
