posx,posy,posz,tick,turn
68.0,0.7511,5.0,1,1
68.0,0.7511,5.0,1,2
68.0,0.7511,5.0,1,3
68.0,0.7511,5.0,1,4
68.0,0.7511,5.0,1,5
68.0,0.7511,5.0,1,6
68.0,0.7511,5.0,1,7
68.17469,0.75110006,5.573976,1,8
68.42037,0.75110006,6.121335,1,9
68.66606,0.75110006,6.668694,1,10
68.91175,0.75110006,7.216053,1,11
68.993645,0.7511,7.398506,1,12
69.11571,0.7511001,6.9136615,1,13
69.164536,0.7511,6.719724,1,14
69.28097,0.75110006,6.1488523,1,15
69.31464,0.7511,6.0546947,1,16
69.31464,0.7511,6.0546947,1,17
69.31464,0.7511,6.0546947,1,18
69.31464,0.7511,6.0546947,1,19
69.31464,0.7511,6.0546947,1,20
69.514626,0.7511,6.0546947,1,21
70.105835,0.7511,5.952532,1,22
70.69704,0.7511,5.8503685,1,23
70.992455,0.7511,5.8200173,1,24
70.992455,0.7511,5.8200173,1,25
70.992455,0.7511,5.8200173,1,26
70.79246,0.7511,5.8200173,1,27
70.21875,0.75110006,5.995576,1,28
69.64504,0.7511001,6.171135,1,29
69.64504,0.7511,6.171135,1,30
69.64504,0.7511,6.171135,1,31
69.64504,0.7511,6.171135,1,32
69.64504,0.7511,6.171135,1,33
69.44505,0.7511,6.171135,1,34
69.26379,0.75110006,6.2765484,1,35
69.17999,0.75110006,6.902821,1,36
69.17999,0.7511,7.3905277,1,37
69.201416,0.7511,7.6381054,1,38
69.58201,0.7511,7.8215914,1,39
70.28178,0.75110006,7.8200006,1,40
70.88172,0.75110006,7.8200006,1,41
71.481636,0.75110006,7.8200006,1,42
71.98143,0.7511,7.8200006,1,43
71.98143,0.7511,7.8200006,1,44
71.98143,0.7511,7.8200006,1,45
71.98143,0.7511,7.8200006,1,46
72.18142,0.7511,7.8200006,1,47
72.68103,0.7511,7.8200006,1,48
72.68103,0.7511,7.8200006,1,49
72.68103,0.7511,7.8200006,1,50
72.88102,0.7511,7.8200006,1,51
73.07452,0.75110006,8.281017,1,52
73.17995,0.75109994,8.533682,1,53
73.284424,0.7511,8.744167,1,54
73.8296,0.7511,8.8200035,1,55
74.42831,0.75110006,8.8200035,1,56
74.92345,0.75110006,8.8200035,1,57
74.92345,0.7511,8.8200035,1,58
74.92345,0.7511,8.8200035,1,59
74.92345,0.7511,8.8200035,1,60
75.0217,0.7511,8.8200035,1,61
75.0217,0.7511,8.8200035,1,62
74.53732,0.7511001,8.943922,1,63
73.95607,0.75110006,9.092623,1,64
73.66544,0.7511,9.166974,1,65
73.335014,0.7511,9.216803,1,66
73.10573,0.75110006,9.718678,1,67
73.02774,0.7511,10.00835,1,68
73.02774,0.7511,10.00835,1,69
73.02774,0.7511,10.00835,1,70
73.02774,0.7511,10.00835,1,71
73.02774,0.7511,10.00835,1,72
72.82775,0.7511,10.00835,1,73
72.22941,0.7511,10.052535,1,74
71.631065,0.7511,10.096721,1,75
71.132454,0.75110006,10.133542,1,76
70.53411,0.75110006,10.177727,1,77
69.83821,0.7511,10.179993,1,78
69.350235,0.75110006,10.209131,1,79
69.17599,0.75110006,10.528129,1,80
69.17999,0.75110006,11.125769,1,81
69.17999,0.7511,11.224625,1,82
69.17999,0.7511,11.224625,1,83
69.17999,0.7511,11.224625,1,84
69.17999,0.7511,11.224625,1,85
69.17999,0.7511,11.224625,1,86
69.17999,0.7511,11.224625,1,87
68.98,0.7511,11.224625,1,88
69.02283,0.7511,11.314984,1,89
68.60442,0.75110006,11.7449875,1,90
68.11629,0.7511001,12.246658,1,91
67.69788,0.75110006,12.6766615,1,92
67.140015,0.75110006,13.25,1,93
66.93082,0.7511,13.465002,1,94
66.93082,0.7511,13.465002,1,95
66.93082,0.7511,13.465002,1,96
66.93082,0.7511,13.465002,1,97
66.93082,0.7511,13.465002,1,98
66.93082,0.7511,13.465002,1,99
66.93082,0.7511,13.465002,1,100
66.93082,0.7511,13.465002,1,101
66.93082,0.7511,13.465002,1,102
66.93082,0.7511,13.465002,1,103
66.93082,0.7511,13.664992,1,104
66.93082,0.7511,13.664992,1,105
67.00168,0.7511,13.718855,1,106
67.00168,0.7511,13.718855,1,107
67.00168,0.7511,13.718855,1,108
67.00168,0.7511,13.718855,1,109
67.00168,0.7511,13.718855,1,110
67.00168,0.7511,13.718855,1,111
67.00168,0.7511,13.718855,1,112
67.00168,0.7511,13.718855,1,113
67.00168,0.7511,13.718855,1,114
67.00168,0.7511,13.718855,1,115
67.00168,0.7511,13.718855,1,116
67.00168,0.7511,13.718855,1,117
67.00168,0.7511,13.718855,1,118
67.00168,0.7511,13.718855,1,119
67.00168,0.7511,13.718855,1,120
67.00168,0.7511,13.918845,1,121
66.87615,0.7511,14.191303,1,122
66.83515,0.75110006,14.689595,1,123
66.82001,0.7511,15.087968,1,124
66.82001,0.7511,15.3863735,1,125
66.82001,0.7511,15.554879,1,126
66.82001,0.7511,15.554879,1,127
66.82001,0.7511,15.554879,1,128
66.82001,0.7511,15.554879,1,129
66.82001,0.7511,15.554879,1,130
66.82001,0.7511,15.554879,1,131
66.82001,0.7511,15.554879,1,132
66.82001,0.7511,15.554879,1,133
66.82001,0.7511,15.7548685,1,134
66.82001,0.7511,15.7548685,1,135
66.80992,0.7511,15.655383,1,136
66.82001,0.75110006,15.061189,1,137
66.82001,0.75110006,14.662622,1,138
66.80578,0.75110006,14.163149,1,139
66.90673,0.7511,13.89632,1,140
66.90673,0.7511,13.89632,1,141
66.90673,0.7511,13.89632,1,142
66.90673,0.7511,13.89632,1,143
66.90673,0.7511,13.89632,1,144
66.90673,0.7511,13.89632,1,145
66.90673,0.7511,13.89632,1,146
66.90673,0.7511,13.89632,1,147
67.10672,0.7511,13.89632,1,148
67.10672,0.7511,13.89632,1,149
66.962555,0.7511,13.769188,1,150
66.85397,0.75110006,14.153799,1,151
66.82337,0.75110006,14.652836,1,152
66.82001,0.75110006,15.051625,1,153
66.82001,0.7511,15.3503,1,154
66.813065,0.7511,15.603678,1,155
66.813065,0.7511,15.603678,1,156
66.813065,0.7511,15.603678,1,157
66.813065,0.7511,15.603678,1,158
66.813065,0.7511,15.603678,1,159
66.813065,0.7511,15.603678,1,160
66.813065,0.7511,15.803668,1,161
66.2253,0.7511,15.820004,1,162
65.62654,0.7511,15.820004,1,163
65.04236,0.75110006,15.956751,1,164
64.45818,0.7511001,16.093496,1,165
63.971367,0.7511001,16.20745,1,166
63.387188,0.75110006,16.344196,1,167
62.80301,0.7511001,16.480944,1,168
62.21883,0.75110006,16.61769,1,169
61.732014,0.75110006,16.731644,1,170
61.732014,0.7511,16.731644,1,171
61.732014,0.7511,16.731644,1,172
61.732014,0.7511,16.731644,1,173
61.732014,0.7511,16.931633,1,174
61.640854,0.7511,16.890541,1,175
61.640854,0.7511,16.890541,1,176
62.203392,0.7511,17.09914,1,177
62.672176,0.75110006,17.272972,1,178
63.234715,0.75110006,17.481571,1,179
63.797253,0.75110006,17.690172,1,180
64.45355,0.7511,17.933538,1,181
65.01609,0.7511,18.142138,1,182
65.01609,0.7511,18.142138,1,183
65.01609,0.7511,18.142138,1,184
65.01609,0.7511,18.142138,1,185
65.01609,0.7511,18.142138,1,186
65.21608,0.7511,18.142138,1,187
65.81455,0.7511,18.179993,1,188
66.31141,0.7511,18.179993,1,189
66.31141,0.7511,18.179993,1,190
66.31141,0.7511,18.179993,1,191
66.31141,0.7511,18.179993,1,192
66.5114,0.7511,18.179993,1,193
66.76259,0.7511,18.30534,1,194
66.82001,0.75110006,18.768436,1,195
66.82001,0.7511,18.967281,1,196
66.82001,0.7511,18.967281,1,197
66.82001,0.7511,18.967281,1,198
66.82001,0.7511,18.967281,1,199
66.82001,0.7511,18.967281,1,200
66.82001,0.7511,18.967281,1,201
67.02,0.7511,18.967281,1,202
66.948204,0.7511,19.036892,1,203
67.54649,0.7511,19.081825,1,204
68.144775,0.7511,19.126757,1,205
68.84277,0.7511,19.179178,1,206
69.04359,0.7511,19.402035,1,207
69.04359,0.7511,19.402035,1,208
69.04359,0.7511,19.402035,1,209
69.04359,0.7511,19.402035,1,210
69.04359,0.7511,19.402035,1,211
69.04359,0.7511,19.402035,1,212
69.04359,0.7511,19.402035,1,213
69.04359,0.7511,19.402035,1,214
69.04359,0.7511,19.402035,1,215
69.04359,0.7511,19.402035,1,216
